title,company,description,location,is_remote,city,state,country,job_type,employment_type,experience_level,skills
 data analyst , 3k technologies ,"data analyst eden prairie, mn (remote) 1 year    looking for a data analyst at a senior level so they can work with minimal supervision and are capable of deriving insights from data. skills i feel are essential hands-on experience working with databricks (will be open to other platform experience based on other factors) very proficient in sql queries knowledge of power bi or similar viz tools able to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful",['remote'],1,,,,Data Analyst,,senior,"sql,power bi"
 data analyst , idc technologies ,"data analyst  100% remote contract   job description: conducting analysis of data related to marketplace assister technical support (mats) business areas.document and communicate reporting requirements, rules and methodologies for data collection and analysis.reviewing and analyzing collected data to determine the performance and health of a system or network,recommending changes to the overall system or network to ensure service to the customer,assembling, preparing, and analyzing data for syst",['remote'],1,,,,Data Analyst,contract,nan,
 data analyst , aimic inc. ,"data analyst reston, va (remote to start but most live locally) duration: 12+ months   job description: the candidate will work on converting data into information, information into insight and insight into business decisions. data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities, and design. they will monitor performance and quality control plans to identify improvements.  responsibilities • interpret data, analyze results using statistical",['remote'],1,,,,Data Analyst,,nan,
 data analyst , vaco technology ,"job title: data analyst  location: new york/ remote  duration: permanent responsibilities ability to analyze large datasets, articulate complex issues concisely identify trends and opportunities for growth through analysis of complex data sets an analytical mind and inclination for problem-solving create best-practice reports based on data mining, analysis, and visualization create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting","['new york', ' ny', ' usa']",0,new york,ny, usa,Data Analyst,,nan,
 data analyst , nivid infotech inc. ,"data analyst  atlanta, ga ( remote to start ) long term job description: expertise in sql and data quality processesneed to know about the data governance and registration process.good to have edi spacegood to have experience in mortgage industry","['remote or atlanta', ' ga', ' usa']",1,atlanta,ga, usa,Data Analyst,long term,nan,sql
 data analyst , bcforward ,"data analyst bcforward is currently seeking a highly motivated senior data analyst (new york, ny 10013) we place consultants for end clients all over usa. job title: senior data analyst  location: new york, ny 10013 anticipated duration: 12 months contract, possible conversion/extension key responsibilities: responsibilities: bcforward began as an it business solution and staffing firm. founded in 1998, bcforward has grown with our customers' needs into a full-service personnel solution's organi","['new york', ' ny', ' usa']",0,new york,ny, usa,Data Analyst,"contract,12 months",senior,
 data analyst , kabtec ,"greetings!   hope you are doing great today!! this is mani from kabtec executive search. we are looking for data analyst at pleasant prairie, wi  title: data analyst   location: working 3 to 4 days on site in pleasant prairie, wi job type: contract duration :  9-12  months subject to extension.   people with minimum 12 plus solid experience in understanding of  data strcture and analysing.","['pleasant prairie', ' wi', ' usa']",0,pleasant prairie,wi, usa,Data Analyst,contract,nan,
 data analyst , randstad technologies ,"job summary:  the primary purpose of this job is to lead multiple data management disciplines within the bi reporting and analytics team. this position will begin documenting the lineage for custom tables and reports created by the reporting team so that the transformation of the data from source to target is clear as well as data quality review, documentation and recommendations. ideal candidate for this role will help reporting team to be able to use the data lake and other productionized data","['tampa', ' fl', ' usa']",0,tampa,fl, usa,Data Analyst,,nan,
 data analyst , sira consulting ,"job title: data analyst  location: natick, ma (remote)   job description: work with business or customer to understand use casesmust be able to analyze data using basic statistical methods proficiency in sql and advanced sqlability to understand data modeling approaches.  ability to develop high level, and detailed diagrams by analyzing code and dependencies. should be able to create source - target mapping documentation. should have demonstrated to bring technical expertise to ensure the qualit",['remote'],1,,,,Data Analyst,,nan,"sql,data modeling"
 data analyst , compugain llc ,"description:data analyst: the candidate will work on converting data into information, information into insight and insight into business decisions. data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities, and design. they will monitor performance and quality control plans to identify improvements.responsibilities interpret data, analyze results using statistical techniques and provide ongoing reports develop and implement databases, data coll",[''],0,,,,Data Analyst,,nan,
 data analyst , randstad technologies ,"job summary:  job description: aggregation of data and reporting information to various businesses across the client.design and develop dashboards and reporting excel and bi tools (e.g. tableau, microstrategy)perform advanced data extraction from various source databases, normalization of data and automation of processesidentify and understand data and respond to questions about data or reported informationwrite substantial documentation such as extensive technical documentationperform data qual","['charlotte', ' nc', ' usa']",0,charlotte,nc, usa,Data Analyst,,nan,"tableau,excel"
 sr. data analyst , sbasetech ,"role: sr. data analystday 1 onsite reporting a minimum 3 days out the weekclient location: 2350 lakeside blvd, richardson, txdata modeling, data profiling, data analyticsa data analyst collects data about an organization’s operations to improve its systems and processes. their primary duties include perform analysis and turn data into information, information into insight and insight into business decisions, conducting full lifecycle analysis to include requirements, activities and design. data ","['richardson', ' tx', ' usa']",0,richardson,tx, usa,Data Analyst,,senior,data modeling
 sr data analyst , beacon hill technologies ,"job description: performs data collection, analysis, validation and reporting. designs, tests, and documents processes, sql queries, and stored procedures.  extracts and analyzes data from various sources, including databases, manual files, and external websites.  responds to data inquiries from various groups within an organization.  creates and publishes regularly scheduled and ad hoc reports.  documents reporting requirements and processes and validates data components as required.  requires ","['st. louis', ' mo', ' usa']",0,st. louis,mo, usa,Data Analyst,,nan,sql
 business data analyst , trinity globaltech ,"hi, hope you are doing well & safe ! greetings from tgt!! we have an immediate open requirement for the below req.   role - business data analyst                                   location – sf/concord, ca hybrid schedule – 2-3 days a week in office and remainder from home from day 1 client - wells fargo contract – 12 month only taking  or  l2 visa or tn visa - they will not take optor cpt non-local candidates are accepted but must be willing to relocate to a noted location by date of hire     j","['san francisco', ' ca', ' usa']",0,san francisco,ca, usa,Data Analyst,contract,nan,
 data analyst , global tech staffing ,"job brief we are looking for a passionate certified data analyst. the successful candidate will turn data into information, information into insight and insight into business decisions.  the data analyst will work with a number of business sme’s across various legal entities and disciplines (primarily ops & finance).   data analyst job duties data analyst responsibilities include conducting full lifecycle analysis to include requirements, design and execution. data analysts will analyze and clea","['remote or dallas', ' tx', ' usa']",1,dallas,tx, usa,Data Analyst,,nan,
 data analyst ," luna data solutions, inc. ","we are currently searching for several data analyst for long-term opportunities in austin, tx. candidates must live in the austin or surrounding area and be available to come onsite 2 days a week. these analyst will compile data from hard or soft copies of contracts and accurately input data into defined tool. qualifications ability to determine when data does not meet basic requirements or model for cleansing.ability to escalate to supervisor when data does not meet basic requirements or does n","['austin', ' tx', ' usa']",0,austin,tx, usa,Data Analyst,"contract,long term",nan,
