title,company,description,location,is_remote,city,state,country,job_type,employment_type,experience_level,skills
 Data Science Architect , Reliable Software Resources ,"responsibilities: provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. ensures that  new initiatives conform to the firm's long term strat","['Reliable Software Resources  Pittsburgh', ' PA', ' USA']",0,Reliable Software Resources  Pittsburgh, PA, USA,Other,long term,nan,
 Full Stack Engineer with Data Science ," DEEGIT, INC. ","a full stack engineer with deep understanding of data science and software engineering practices.   job responsibilities: strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture.design and implement machine learning models and data ingestion pipelines.develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.e","['DEEGIT', ' INC.  Remote']",1,DEEGIT, INC.  Remote,,Data Engineer,,machine learning,machine learning
 Principal-Pred/Pres Analytics - Data science , Ampcus Inc ,"hello,   greetings from ampcus inc. ampcus is a technology services consulting company. ampcus inc. is a global leader in end-to-end it business solutions and services with latest technologies. we are listed among the top 50 fastest growing companies in usa. we work closely with our clients for talent acquisition.  we are looking for an principal-pred/pres analytics. this is 6+ months position. your resume is a very good match for this opportunity, please review the job description below and ple","['Ampcus Inc  Alpharetta', ' GA', ' USA']",0,Ampcus Inc  Alpharetta, GA, USA,Data Scientist,,leader,
 Data Science Director , Blend360 ,"edit  dynamic, fast-growing, entrepreneurial data science solutions company seeking seasoned data scientists! if you’ve got entrepreneurial spirit and passion, are driven by results, and want to be a part of significant growth, we’re looking for you!  blend360 is an award-winning, new breed data science solutions company focused on powering exceptional results to our fortune 500 clients. we are a  growing company—born at the intersection of advanced analytics, data and technology. blend360 it is",['Blend360  Remote'],1,Blend360  Remote,,,Other,,nan,
 Director of Data Science (3708) , Flexion Inc ,"flexion is currently seeking a director of data scientist for a direct hire/full-time employee role with our client in minneapolis, mn.  as the director of data science, you will play a key role in unlocking our client's vision - transforming the measure of marketing success - through the development and advancement of measurement methodologies.  you will lead the development of additional analytics solutions, data science tools and application of predictive analytics to meet the needs of our cl","['Flexion Inc  Minneapolis', ' MN', ' USA']",0,Flexion Inc  Minneapolis, MN, USA,Other,full time,director,
" Manager, Data Science & Analytics "," Nutrien Ag Solutions, Inc ","manager, data science & analytics – remote, us nutrien ag solutions is the retail division of nutrien™, the largest crop inputs company in the world. as part of our collective mission of feeding the future, nutrien ag solutions provides full-acre solutions through our trusted crop consultants at more than 2, locations in north america, south america, europe and australia.  working at nutrien ag solutions will provide you an opportunity to help us feed the future, and grow your career.  what you ","['Nutrien Ag Solutions', ' Inc  Remote']",1,Nutrien Ag Solutions, Inc  Remote,,Data Analyst,,manager,
 E-Discovery Data Science Advisor ," Paul, Weiss, Rifkind, Wharton & Garrison LLP ","the e-discovery data science advisor uses advanced data science tools and techniques to enable the discovery of insights from client data and enable the analysis, review, and production of structured data throughout the e-discovery process. the e-discovery data science advisor will also use these techniques and tools to support the enhancement and automation of e discovery processes. consult with case teams on effective data modeling, mining and other data analyses as related to e-discovery and ","['Paul', ' Weiss', ' Rifkind', ' Wharton & Garrison LLP  New York', ' NY', ' USA']",0,Paul, Weiss, USA,Other,other,nan,data modeling
 Data Science Lead ," Republic Services, Inc. ","the data analytics lead serves as the primary liaison between leadership and data scientists to leverage information adding value to the organization's workforce. this position works with all levels of hr staff as well as leadership across the organization in assessing needs for various business functions and assists management in identifying, analyzing and recommending data products that add business value.  projects consist of small ad-hoc information requests to large cross functional data in","['Republic Services', ' Inc.  Scottsdale', ' AZ', ' USA']",0,Republic Services, Inc.  Scottsdale, USA,Other,management,leader,
" Full Stack Engineer - (Python, Data Science and Machine Learning) ", KLNtek ,"hello please check the below position and reply back with the below details and updated resume if you are comfortable.   job title: full stack engineer - (python, data science and ml) location: no location constrain (across us need to work in pst hours) duration: long term    key skills: python, machine learning and data science. job details: strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-ser",['KLNtek  Remote'],1,KLNtek  Remote,,,Data Engineer,long term,machine learning,"python,machine learning"
" Data Scientist Lead (data science, Python ,PowerBI or Tableau, RETAIL EXPERIENCE) ", SigmaWay ,"apply by email/direct application at  role: data scientist (lead) location: remote interview process: 3-4 steps must haves: minimum of 4 years of data science experience (ideally 5+ but will consider 4, no less)python or rpowerbi or tableauretail experience will not consider anyone without it  jd: you will have an opportunity to directly influence our consumer product roadmaps and work closely with business leaders across e.l.f. beauty. you will be responsible for following to fuel our digital g",['SigmaWay  Remote'],1,SigmaWay  Remote,,,Data Scientist,,leader,"python,git,tableau"
