title,company,description,datadate,salary_lower_range,salary_upper_range,is_remote,zipcode,city,state,job_type,experience_level
Departmental Analyst -P - Data Analytics,State of Michigan,"and reporting, including biannual reports to the legislature, and (3) service in the role of data steward with regard to treasury and csb interfaces, adherence…",Spring 2022,0.0,0.0,0,0,dimondale,mi,Data Analyst,0
Data Analyst,Winwire Technologies,"providing resource to add/delete/amend data within any of the production systems.manipulating data within excel, notepad, access, and any other tools available…",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Junior Data Analyst - DAL-,"Evergreen Technologies, LLC.","experience with data wrangling, data cleaning and prep, dimensionality reduction.experience querying data from relational databases using sql.",Spring 2022,0.0,0.0,1,0,detroit,mi,Data Analyst,junior
Junior Data Analyst,Teamson,"at least two years of experience as an analyst working with large data sets.accurately gather and analyze data from tableau, sap, and other data sources.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,junior
"Senior Data Analyst, IT Remote",U.S. Medical Management,perform data cleansing to identify erroneous data and initiate corrections needed.collaborate with team members to collect and analyze data.,Spring 2022,0.0,0.0,1,48084,troy,mi,Data Analyst,senior
Data Analyst,Spokeo,"we collect data from a wide variety of public sources and need someone with a curious mindset who is ready to dive deep to define business rules, identify…",Spring 2022,0.0,0.0,1,91101,pasadena,ca,Data Analyst,0
Data Analyst,Alliance Health Professionals Pllc,2-3 years experience in a medical facility analyzing data is required.knowledge of pc-based applications used for data management.,Spring 2022,0.0,0.0,0,48038,clton township,mi,Data Analyst,0
Junior Data Analyst,ALTA IT Services,analyzes data and develops observations and findings based on analysis.the junior data analyst will help to shape and execute reporting strategy for data…,Spring 2022,89440.0,0.0,1,20003,washgton,dc,Data Analyst,junior
Business Analyst,"BCVS Group,inc",assist in the testing process through the development of test cases and data.gather business and technical requirements for application modifications and…,Spring 2022,62400.0,0.0,0,0,farmgton hills,mi,Data Analyst,0
"Senior Data Analyst, Games & Live Ops",PlayStation Global,demonstrated analytical skills working with large sets of complex data.this position will develop and manage towards a data analytics vision for playstation…,Spring 2022,0.0,0.0,1,0,san mateo,ca,Data Analyst,senior
Data Analyst,Vaco,create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…,Spring 2022,0.0,0.0,1,0,new york,ny,Data Analyst,0
Remote Data Analyst Training and Placement in Precision Tech...,precision technologies corp,"proven ability to apply advanced descriptive, inferential, exploratory, and predictive statistical techniques, including data mining and machine learning…",Spring 2022,62400.0,124800.0,1,0,,,Data Analyst,0
Healthcare Data Analyst,"Second Wave Delivery Systems, LLC","as a data analyst you will be inspecting, cleansing, transforming, and modelling data with the goal of discovering useful information, informing conclusions,…",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
IT Business Analyst,Stafford Gray LLC,candidate will be in office 2 days a week and work remotely 3 days a week.*.azure devops: 3 years (required).business analyst: 3 years (required).,Spring 2022,83200.0,93600.0,1,48933,hybrid   lansg,mi,Data Analyst,0
Data Analyst,Infinity Quest,extensive experience with data visualization.pharmacy software: 3 years (preferred).data management: 3 years (required).,Spring 2022,0.0,0.0,1,0,Remote,,Data Analyst,0
Data Analyst,Curative,the data analyst will work on our data team alongside data scientists and data engineers.the objective is to increase the data team's capacity for providing…,Spring 2022,0.0,0.0,1,78704,aust,tx,Data Analyst,0
Entry level Data Analyst,Emonics LLC,"collaborate with healthcare analytics business and data smes to profile, analyze, and model data, including creating logical mapping of source data into target…",Spring 2022,83200.0,124800.0,1,0,,,Data Analyst,entry level
Data Analyst,"Iver Solutions, LLC",5-8 years of experience in pulling large and complex data using sql and writing data pipelines and statistic modeling.,Spring 2022,145600.0,149760.0,0,0,seattle,wa,Data Analyst,0
Health Data Analyst,"NN Tech, LLC",this position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics.designing database tables and structures.,Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Research Master,ucd,"we need a researcher to help gather, organize, and present data for buyers and owners of commercial property.researcher will also help gather, organize, filter…",Spring 2022,45760.0,0.0,1,0,,,Other,0
"Data Analyst, adidas",Archrival,collect and connect data from multiple unstructured sources to aid in a comprehensive view of project performance – included establishing relationships with…,Spring 2022,0.0,0.0,0,0,portland,or,Data Analyst,0
Business and Data Analyst,Stellantis,"this includes requirements gathering, developing a rich understanding of required data, facilitating the design of deliverables, partnering with technical and…",Spring 2022,0.0,0.0,0,483261,auburn hills,mi,Data Analyst,0
"Deutsche Bank Analyst Program - Technology, Data and Innovat...",Deutsche Bank,depending on your rotation you will gain expertise in:designing & delivering engineering solutions for our businesses and customersproviding production…,Spring 2022,0.0,0.0,0,0,new york,ny,Data Analyst,0
Business Analyst,Kinetix,at the drive through you break down why some restaurants get you a royale with cheese in 10 minutes and then promptly share your results with the manager of…,Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Analyst,9thWonder,work with large data sets via automated and hands-on data processing to produce structured data sets for analysis.9thwonder is looking for a data analyst.,Spring 2022,0.0,0.0,1,482264,detroit,mi,Data Analyst,0
Data Analyst,FULLER THEOLOGICAL,collaborate with other its staff on data warehousing and data integrity.investigative data analysis - must be proactive in assessing future data needs/must be…,Spring 2022,0.0,0.0,1,91182,pasadena,ca,Data Analyst,0
Data Analyst,"EDO, Inc",patience and meticulousness necessary for precise data analysis and data exploration.experience collaborating with both business and engineering stakeholders…,Spring 2022,0.0,0.0,1,0,los angeles,ca,Data Analyst,0
Data Analyst,CPL Recruitment,"excellent eye for detail, with a curiosity mindset and attitude for data discovery.various analytical, reporting, data-consolidating tasks.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Analyst,Sessions,"mentor junior analysts, raising the quality and efficiency of data products across the team and company.improve business operations, advocating for a data…",Spring 2022,0.0,0.0,1,0,san francisco,ca,Data Analyst,0
Data Analyst,Pine Park Health,ability to develop detailed data request specifications based on existing company data model for de-identified patient data pulls as inputs into analytics…,Spring 2022,0.0,0.0,1,0,san francisco,ca,Data Analyst,0
Business Analyst,"Info Origin, Inc.",minimum of 5 years being the liaison between technical teams and the project stakeholders.minimum of 5 years developing and/or managing user stories on agile…,Spring 2022,156000.0,0.0,0,0,lansg,mi,Data Analyst,0
Data Analyst,Disney Streaming,"familiarity with data exploration and data visualization tools like tableau, looker, chartio, etc.this expertise will manifest in the design and implementation…",Spring 2022,0.0,0.0,0,0,new york,ny,Data Analyst,0
Data Analyst I,Management Science Associates Inc.,"this will include data loading, cleansing, master data management and extraction as well as building data warehouses and reporting.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Analyst,Fincons Group,several years of experience as a data analyst.experience as analyst of metric and kpi data based on around basic statistics.,Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Senior Data & Research Analyst,Dialexa,experience with visualizing data and deriving actionable insights from data.utilizing quantitative methods to create data-driven personas.,Spring 2022,0.0,0.0,1,0,chicago,il,Data Analyst,senior
 Entry Level - Data Analyst,Textron Aviation,performs data analysis via various data-mining and statistical techniques to gain insights from data to support business objectives.12-paid holidays a year.,Spring 2022,0.0,0.0,0,0,wichita,ks,Data Analyst,entry level
Data Analyst,TMF Health Quality Institute,"develops programs and scripts for data transformation, integration, reduction, and data visualization across multiple data sets.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Business Analyst,Creative Consulting Company,"process, system, and data flow diagrams.7+ years’ experience testing custom or off-the-shelf applications, reports, large data sets, or dashboards.",Spring 2022,166400.0,0.0,1,0,,,Data Analyst,0
Data Analyst,SWI,"5-7 years of experience required.*.design, implement, automate and maintain large scale enterprise data etl processes.",Spring 2022,135200.0,0.0,0,98004,bellevue,wa,Data Analyst,0
Data Analyst,Limbix,experience with social science data.partner with engineering to continually improve the quality of our data and analytics and data infrastructure.,Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
SENIOR DATA ANALYST,UniGroup,"implements data quality tests and continuously review, optimize, and refactor data models in order to expand our data environments with ready to analyze data.",Spring 2022,0.0,0.0,1,0,Remote,,Data Analyst,senior
Data Analyst,Scripps Health,"may be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis.gathering operational data to examine past business…",Spring 2022,0.0,0.0,0,92127,san diego,ca,Data Analyst,0
Data Analyst,Ingress IT Solutions,compile and analyze data related to business' issues.develop clear visualizations to convey complicated data in a straightforward fashion.,Spring 2022,72800.0,93600.0,1,0,,,Data Analyst,0
Data Analyst,Flair IT Solutions,minimum of 5 years experience in data analysis.we are currently looking for an experienced data analyst with following preferred and required skills for a full…,Spring 2022,0.0,0.0,0,48375,novi,mi,Data Analyst,0
Data Analyst,Interon IT Solutions LLC,"at least five (5) years of experience in writing data conversion logic in java, scripting languages such as *sql, python, linux shell script, perl, windows…",Spring 2022,104000.0,114400.0,1,0,,,Data Analyst,0
Clinical Data Analyst,Health Gorilla,establish data quality standards for incoming clinical data from multiple sources.evaluate data quality and data performance metrics of our processing…,Spring 2022,0.0,0.0,1,0,miami,fl,Data Analyst,0
Data Analyst,"Envorso, LLC","documentation of data practices and governance protocols.data analyst that builds, maintains and provides production reports.ford & lincoln x-plan pricing.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Analyst - Tiktok Ads,TikTok,expert experience pulling large and complex data using sql and writing data pipelines.experience with a data visualization tool (e.g. tableau);,Spring 2022,0.0,0.0,0,0,seattle,wa,Data Analyst,0
Data Analyst,Scott Credit Union,"they act as a consultant between technology and the business units to help derive timely, accurate, actionable insights from raw data and established data…",Spring 2022,0.0,0.0,1,62025,edwardsville,il,Data Analyst,0
Data Analyst,Jetty,"help design and manage processes that enable the go-to-market organization to be more successful.manage ad-hoc tasks like dataloads, reporting, and analysis,…",Spring 2022,0.0,0.0,1,0,new york,ny,Data Analyst,0
Data Analyst,Poloniex,"collect/manage diverse data to generate curated data sets for ease of interpretation and reporting.perform complex data analysis of customer data, provide…",Spring 2022,0.0,0.0,1,0,boston,ma,Data Analyst,0
Pharmaceutical Commercial Data Analyst,HopeRun Technology Corporation,"analyze different pharmaceutical/life sciences data sets like claims data, electronic medical records, anonymous patient-level data, prescription data & sales…",Spring 2022,93600.0,0.0,1,0,,,Data Analyst,0
Data Analyst,Kalibri Labs,"1 to 3 years of relevant professional experience in data research, data collection, hospitality data, business intelligence, data analytics, or data…",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Visualization Analyst,Farm Journal,organize and clean unstructured data to present through tableau and alter data models and package structure as business requirement change.,Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Operations Analyst,Revint Solutions,"full client implementations – acquiring data, importing data, validating data, and getting the system ready for go live.",Spring 2022,0.0,0.0,1,0,Remote,,Data Analyst,0
"Analyst, Data and Insights, Storytelling/Publishing",The New York Times,democratize data through skillful data structuring and the use of visualization tools.write sql to pipeline and analyze big data.experience with a/b testing.,Spring 2022,0.0,0.0,0,0,new york,ny,Data Analyst,0
Data Analyst Consultant,MI-GSO | PCUBED,"you should have a least a bachelor’s degree, 3-5 years of data analysis/data science experience working in a project environment, and you want to develop…",Spring 2022,0.0,0.0,0,0,southfield,mi,Data Analyst,0
Business Analyst,Triunity software Inc.,performs business analysis tasks such as problem solving and new requirements definition tasks per area of focus within business analysis as assigned by manager…,Spring 2022,62400.0,114400.0,1,0,,,Data Analyst,0
Precision Health Data Analyst,University of Michigan,"a master’s degree in health-related science or information science, public health or similar fields with computer/computational/data science specialization and…",Spring 2022,0.0,0.0,0,481091,ann arbor,mi,Data Analyst,0
Global People Data Analyst (Remote),Nielsen,"5 years of hr systems experience, sap preferred.work with people teams to ensure the establishment of global data definitions, uses, and standards.",Spring 2022,0.0,0.0,1,0,united states,,Data Analyst,0
Data Analyst,"Northern Embedded Solutions, LLC",experience developing data parsers for table and relational data sets.the analyst will work with operations and other engineering personnel to identify what…,Spring 2022,74609.59999999999,107203.2,1,0,fairbanks,ak,Data Analyst,0
Data Analyst,Double,"lead a project to unify our data model across teams, and benchmark possible data tools to create more insightful reporting, more easily.",Spring 2022,0.0,0.0,1,0,,,Data Analyst,0
Data Analyst,HashiCorp,"3+ years with relevant data analyst, business analyst, and/or data warehousing experience.manage and build infrastructure required for optimal etl of data from…",Spring 2022,0.0,0.0,1,0,san francisco,ca,Data Analyst,0
