title,salary,company,description,location,city,state
data analyst,110000.0,cognizant technology solutions,perform data analysis on large volume of healthcare payer operational data by writing complex queries. work with architects to understand solution and data…,"['detroit', ' mi']",detroit, mi
data analyst/statistician,77749.0,us department of veterans affairs,create processes for assessing quality and accuracy of data. working with healthcare data: 2 years (preferred). key attributes of successful candidates *.,"['ann arbor', ' mi']",ann arbor, mi
data analyst,110000.0,best egg,"in addition to semi-monthly salary payments, this position is also eligible for an annual incentive bonus based on individual and company performance.",['remote'],remote,
data analyst,104000.0,integrityatl,"to do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and…",['united states'],united states,
program associate i - data analyst,74395.0,dpscd,demonstrated success in analyzing and interpreting quantitative data and disparate data sources to make recommendations based on findings.,"['detroit', ' mi']",detroit, mi
remote data analyst,62000.0,adt security services,"familiarity with mastermind business/monitoring data tables. they may develop databases and systems for inputting, managing, and securing an organization’s data…",['remote'],remote,
program associate i - data analyst,74395.0,detroit public schools community district,demonstrated success in analyzing and interpreting quantitative data and disparate data sources to make recommendations based on findings.,"['detroit', ' mi']",detroit, mi
entry level data analyst,115871.09296740998,"antra, inc",secure access to data sources determine data accuracy and usefulness define processes to improve the quality of data (standards) 1.,['remote'],remote,
program analyst,106909.0,u.s. department of state,experience assisting in the integration of qualitative and quantitative data analysis. or b. have a ph.d. or equivalent doctoral degree or 3 full years of…,"['washington', ' dc']",washington, dc
professional administrative analyst,63453.0,great lakes water authority,"business technology, data management systems, and applications. independently analyze data to make recommendations for resolution, and make recommendations to…","['detroit', ' mi']",detroit, mi
billing data analyst i,71000.0,indeed,"in this role as an operations analyst, you’ll support the indeed revenue systems platform. you’ll be responsible for responding to internal customer requests,…",['united states'],united states,
entry level data analyst,59280.0,tresume,perform data cleanups and document processes. analyze internal and external data through quantitative research. 0-2 years of experience in a data support role.,"['chantilly', ' va']",chantilly, va
cdao data analyst,105832.0,general motors,"additionally, you will be responsible for working with it and business partners to identify data feeds and data points that need to be created.",['remote'],remote,
business data analyst (remote),95000.0,digital strategy llc,"supports data efforts in system modernization projects including synchronizing data, establishing data reporting processes, leading data quality efforts, and…",['remote'],remote,
part-time data entry analyst - solvas financial technology,115871.09296740998,deloitte,this is a part-time syndicated loan data entry analyst opportunity supporting the solvas|digitize managed service. review automated data extraction results.,"['detroit', ' mi']",detroit, mi
entry level data analyst,104000.0,emonics llc,"collaborate with healthcare analytics business and data smes to profile, analyze, and model data, including creating logical mapping of source data into target…",['remote'],remote,
junior data analyst,42500.0,teamson,"at least two years of experience as an analyst working with large data sets. accurately gather and analyze data from tableau, sap, and other data sources.",['remote'],remote,
data reporting analyst - entry level,65000.0,pcs global tech,regularly examine data reports to locate and resolve mistakes throughout. create business reports that provide insight into key data points.,"['seattle', ' wa']",seattle, wa
location data analyst,67500.0,indeed,3-5 years experience in a data analyst or gis role with a focus on large-scale spatial data analysis and open source solutions.,['united states'],united states,
data analyst,63000.0,lakeshore legal aid,assess and ensure quality of data. create reports and presentations to further explain data. work closely with staff to verify data accuracy and completeness.,"['detroit', ' mi']",detroit, mi
senior data analyst- remote (est),143000.0,suncoast drivers,"analyze data for data gaps and make recommendations for data quality improvement. dive deep into data to uncover trends, data quality, and data completeness.",['maryland'],maryland,
data analyst - mobile games,110000.0,carbon counts tech,data analysis skills: 5 years (required). you will regularly present data-driven analysis to senior leadership. _full time remote within a distributed team_.,['remote'],remote,
finance data analyst,115871.09296740998,computer solution llc,experience in data analysis and working with large data sets. data/business analyst role on system enabled transformation projects.,['remote'],remote,
data support analyst,115871.09296740998,willson international ltd.,"college degree or business experience equivalent in data analytics is required. conduct highly complex data review, research, and/or reconciliation for assigned…","['southgate', ' mi']",southgate, mi
business analyst,87500.0,k-tek resourcing,"> business analysis services, work closely with stakeholders to get in-depth understanding of the business strategy, process, services.",['remote'],remote,
remote-data technician analyst,51206.0,self insured reporting,understand the data integration process from start to finish and how we use the data we have. set up data-based protocols. microsoft excel: 2 years (required).,['remote'],remote,
data analyst,115871.09296740998,optimal inc.,"work with on-prem data sources (hadoop, sql server), understand the data model, business rules behind the data and build data pipelines (with gcp) for one or…","['dearborn', ' mi']",dearborn, mi
data analyst - stratascale,115871.09296740998,shi international corp.,"1-3 years’ experience in data analysis with powerbi, tableau, or clickview. advance knowledge of powerbi to develop data visualizations.","['detroit', ' mi']",detroit, mi
remote provider data service analyst 1,115871.09296740998,coventry wcs,provides support for baseline provider data transactions that cannot be administered automatically through the provider database due to system limitations and…,['united states'],united states,
"analyst, reporting and data",118800.0,chime,"synthesize data and build consensus by clearly communicating and presenting data-orientated information. collaborate with other analysts, subject matter experts…","['san francisco', ' ca']",san francisco, ca
data analyst,79900.0,dish,"experience with big data platforms (e.g. aws, athena, hive). at least a bs in a quantitative field such as statistics, data science, or business analytics (ms…","['christiansburg', ' va']",christiansburg, va
data research master,115871.09296740998,ucd,"we need a researcher to help gather, organize, and present data for buyers and owners of commercial property. researcher will also help gather, organize, filter…",['remote'],remote,
data analyst (remote),115871.09296740998,home depot / thd,"1-2 years of data analysis experience. addresses idm data collection & data quality issues, documentation, system training needs & questions for both internal &…","['atlanta', ' ga']",atlanta, ga
it data analyst - fintech + growing + profitable + remote,85000.0,relentless talent,assume data support responsibilities from current data warehouse vendor. actively monitor data ingestion process and escalate for operational and/or data…,"['detroit', ' mi']",detroit, mi
data analyst,67600.0,vortex trading llc,proven working experience as a data analyst or business data analyst. acquire data from primary or secondary data sources and maintain databases/data systems.,"['cromwell', ' ct']",cromwell, ct
junior data analyst - dal22-033349999999,115871.09296740998,"evergreen technologies, llc.","experience with data wrangling, data cleaning and prep, dimensionality reduction. experience querying data from relational databases using sql.","['detroit', ' mi']",detroit, mi
entry level business /data analyst,67600.0,tresume,"knowledge of data visualization software like power bi, tableau. we have multiple openings for *business /data analyst's *nationwide.*.","['baltimore', ' md']",baltimore, md
reporting analyst / data analyst (healthcare experience needed),60975.2,mosquito hunters,"advanced excel (pivot tables, etc...), powerpoint. 4 years of reporting experience. bi reporting experience (tableaus preferred, will consider other platforms…",['remote'],remote,
"senior data analyst, games & live ops",115871.09296740998,playstation global,demonstrated analytical skills working with large sets of complex data. this position will develop and manage towards a data analytics vision for playstation…,"['san mateo', ' ca']",san mateo, ca
data operations analyst,115871.09296740998,telus agriculture & consumer goods,"performs data reconciliations, validation and data quality checks to ensure we are monitoring and resolving any data inconsistencies.",['remote'],remote,
data analyst,115871.09296740998,winwire technologies,"providing resource to add/delete/amend data within any of the production systems. manipulating data within excel, notepad, access, and any other tools available…",['remote'],remote,
data analyst for fresher (opt student),115871.09296740998,cloudbig technology,"responsible for ensuring data accuracy and data availability in all monitoring, ticketing and analysis tools and systems.",['remote'],remote,
data analyst (consumer finance),115871.09296740998,smiledirectclub,use data to optimize payment authorization rates and collections. naturally curious; seeks out answers by diving deep into the data.,['remote'],remote,
data analyst ii-remote,115871.09296740998,michigan health plan,"o internal data cleansing and data reconciliation analysis. handle complex data requests, reports, and predictive data modeling.","['detroit', ' mi']",detroit, mi
logistics data analyst,115871.09296740998,central transport,"this is a full time opportunity, working *monday – friday* during regular business hours. audit of daily bills in regards to class, weight, dimensions and…","['warren', ' mi']",warren, mi
digital data analyst,117500.0,canyon associates,"bachelor's degree remote role experience configuring cloud, data data manipulation database modeling sql evaluate data models usc or green card needed…",['remote'],remote,
crm data analyst,82500.0,smartwyre,"the crm data analyst will perform various functions, including maintaining analyzing customer data to provide support for sales and marketing efforts.",['remote'],remote,
data analyst,75000.0,genspark,"location: *remote *for now ( relocation after 6/8 months alpharetta, georgia). during your first 6-8 weeks with genspark, we provide paid training in technical…",['remote'],remote,
analyst,43000.0,the freedonia group,analyze data and place into standard formats to facilitate data analysis. locate and collect primary and secondary data. 0-3 years work experience.,['remote'],remote,
data reporting analyst (healthcare experience needed),61027.2,mosquito hunters,data/reporting analyst will be responsible for report generation between the provider (hospital) and the client (payer) and ensuring reports submitted by the…,['remote'],remote,
business analyst,115429.6,triunity software inc.,performs business analysis tasks such as problem solving and new requirements definition tasks per area of focus within business analysis as assigned by manager…,['remote'],remote,
training and placement for business analyst,86320.0,precision technologies corp,new training batch for business analyst in different domains. training provided by remote full-time trainer with good working professional experience as a…,"['palo alto', ' ca']",palo alto, ca
senior sales data analyst,91421.5,paylocity corporation,5 – 8 years’ experience in sales leadership or sales operations. the senior sales data analyst independently plans and executes advanced data analytic projects…,['remote'],remote,
senior data analyst,91800.0,dish,garner key insights from data and communicate these findings to key stakeholders to help make data-driven decisions.,"['englewood', ' co']",englewood, co
associate data analyst,50000.0,fund consulting,"1-3 years of experience in the data analysis lifecycle, including data collection, cleaning, transforming and analysis. this will be a remote position.",['remote'],remote,
junior data analyst – part time entry level,35360.0,cormac,"using data science and business intelligence tools, cormac’s data analytics solutions provide the power to turn raw data into insights and opportunities.",['remote'],remote,
senior data analyst,115871.09296740998,mi-gso | pcubed,you have over 5 years of experience developing and applying data strategies. 5 or more years of relevant experience with alteryx or any equivalent etl/data…,"['dearborn', ' mi']",dearborn, mi
data analyst,115871.09296740998,zora,"experience working with complex data, and organizing data into standard formats. analyze data quality of a variety of datasets. pay: from $80.00 per hour.",['remote'],remote,
senior data analyst (remote-home based worker),110500.0,allstate,"advanced data management, quality assurance and data flow skills. experience in data extraction, data manipulation, analysis and reporting required.",['remote'],remote,
business analyst,114400.0,cloud zenix,experience working with internal and external stakeholders to collect business requirements. experience working with automated workflow systems and medicaid is…,['remote'],remote,
data analyst,109200.0,interon it solutions llc,"at least five (5) years of experience in writing data conversion logic in java, scripting languages such as *sql, python, linux shell script, perl, windows…",['remote'],remote,
entry level data analyst,51802.4,smb franchise advisors,experience with hands-on and manual data tasks. attention to detail and ability to follow instructions and written processes to deliver requirements.,['remote'],remote,
telesales data analyst,115871.09296740998,elite insurance partners,storytelling with data via dashboards and data visualizations in tools such as tableau or google data studio and good presentations skills.,['remote'],remote,
data analyst,115871.09296740998,compugain,"proven working experience as a data analyst or business data analyst. develop and implement databases, data collection systems, data analytics and other…","['reston', ' va']",reston, va
data management and reporting analyst,125000.0,capella space,attention to detail in defining and producing informative data driven reporting artifacts. accessing and querying data through apis.,"['boulder', ' co']",boulder, co
data analyst - stratascale,115871.09296740998,stratascale,"1-3 years’ experience in data analysis with powerbi, tableau, or clickview. advance knowledge of powerbi to develop data visualizations.","['detroit', ' mi']",detroit, mi
fraud data science analyst,120313.0,acunor,"*modeling / data science experience is a plus*. *credit or fraud risk analytics experience is a must, marketing or operations analytics may also be considered…",['remote'],remote,
data analyst,115871.09296740998,silent falcon uas technologies,"ensuring layers are represented and displayed correctly according to the collected data. relabeling of data, for use by the client - both internal and…","['front royal', ' va']",front royal, va
"data analyst, it remote",115871.09296740998,u.s. medical management,perform data cleansing to identify erroneous data and initiate corrections needed. collaborate with team members to collect and analyze data.,"['troy', ' mi']",troy, mi
data analyst associate - 2023,115871.09296740998,capital one,use data mining techniques to identify fraud rings. optimize bank atm placement through advanced data exploration.,"['mclean', ' va']",mclean, va
data analyst,115871.09296740998,abc entertainment,"perform data entry work to place collected data into the company database, placing special emphasis on data integrity and accuracy.","['burbank', ' ca']",burbank, ca
business analyst // entry level,115871.09296740998,argano,"analyze data, evaluate and present solutions. we help our clients envision and enable digital transformation solutions. map and gap the requirements.",['remote'],remote,
lead data developer analyst,105000.0,the alacer group,provides technical consulting on data composition and data engineering. provides data and technical consulting during data application design.,['remote'],remote,
data analyst (senior),115871.09296740998,sierra7,obtaining data through advanced computerized models. extrapolating data patterns through advanced algorithms. developing simple graphs and charts to explain how…,"['falls church', ' va']",falls church, va
hubzone data entry analyst,115871.09296740998,"blue sky innovative solutions, llc","or at least 3 years of relevant work experience. once there is a higher confidence in the level of precision of the data entry, the incumbent will be left to…",['remote'],remote,
digital content data analyst (remote),130000.0,home depot / thd,"experience in e-commerce, data management, process analysis and improvement. the digital content data analyst serves as the primary product data category lead…","['atlanta', ' ga']",atlanta, ga
digital delivery - data analyst - new york,115871.09296740998,efficio consulting,"independently conduct analysis in sql & tableau, sharing results and collaborating with clients, efficio’s client facing teams, and efficio’s technical experts.","['new york', ' ny']",new york, ny
health data analyst,115871.09296740998,"nn tech, llc",this position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. designing database tables and structures.,['remote'],remote,
business analyst,62400.0,"bcvs group,inc",assist in the testing process through the development of test cases and data. gather business and technical requirements for application modifications and…,"['farmington hills', ' mi']",farmington hills, mi
business analyst,115871.09296740998,cloud big technology,_responsible for working with the client to capture and document the project requirements. _they will also be responsible for interfacing with the technical…,['remote'],remote,
2022 | data analytics and business intelligence | analyst | new york,115871.09296740998,goldman sachs,"data teams across the firm embody a keen attention to detail and quantitative discipline, focusing on data analytics and business intelligence to ensure our…","['new york', ' ny']",new york, ny
data analyst,115871.09296740998,cred investments,you are an experienced data analyst who enjoys optimizing data systems and building them from the ground up. the right candidate will be excited by the prospect…,['remote'],remote,
2023 entry level - quality data analyst,115871.09296740998,textron aviation,"x. provide technical expertise on data storage structures, data mining, and data cleansing. preferred work experience as a data analyst or in related field.","['wichita', ' ks']",wichita, ks
senior data analyst,115871.09296740998,"wimo games, inc.","ability to write queries, pull and manipulate data sets and perform data analysis based on large data sets. perform data analysis to support the operation and…",['remote'],remote,
data analyst,115871.09296740998,9thwonder,work with large data sets via automated and hands-on data processing to produce structured data sets for analysis. 9thwonder is looking for a data analyst.,"['detroit', ' mi']",detroit, mi
business analyst,60000.0,amware fulfillment,"the ideal candidate will have a minimum of 3 years’ experience in an accounting/billing position, preferably with experience billing/analyzing small-parcel (e.g…",['remote'],remote,
data analyst i,115871.09296740998,management science associates inc.,"this will include data loading, cleansing, master data management and extraction as well as building data warehouses and reporting.",['remote'],remote,
data analyst,115871.09296740998,infinity quest,extensive experience with data visualization. pharmacy software: 3 years (preferred). data management: 3 years (required).,['remote'],remote,
jr. data analyst - medicare,62500.0,myplanadvocate,"assist with the design and development of high-visibility projects including data mining, data analysis, and visualization via power bi.",['remote'],remote,
commercial operations analyst,65000.0,jll,"capture commercial crb data in support of quarterly and annual kpi reporting, cross-referencing with data sets from sales, pricing, and account management…",['remote'],remote,
2023 entry level - data analyst,115871.09296740998,textron aviation,performs data analysis via various data-mining and statistical techniques to gain insights from data to support business objectives. 12-paid holidays a year.,"['wichita', ' ks']",wichita, ks
business analyst - information technology,66625.0,wayne county government,"the it analyst will develop, maintain, or implement business continuity including risk assessments, business impact analyses, strategy selection, and…","['detroit', ' mi']",detroit, mi
business analyst,115871.09296740998,kp partners llc,1-3 years of prior experience as a business analyst (management consulting or small business setting preferred). must be able to work with minimal supervision.,['remote'],remote,
hr data analyst,115871.09296740998,corsearch,ensure data integrity and recommend solutions where problems arise. coordinate across multiple partners and customers to resolve employee data issues.,['remote'],remote,
data analyst,147680.0,"iver solutions, llc",5-8 years of experience in pulling large and complex data using sql and writing data pipelines and statistic modeling.,"['seattle', ' wa']",seattle, wa
data operations analyst,115871.09296740998,revint solutions,"full client implementations – acquiring data, importing data, validating data, and getting the system ready for go live.",['remote'],remote,
transportation analyst,60000.0,little caesars / blue line distribution,"with expertise in power bi, excel and access and ability to manipulate and extract data. highly developed analytical and problem-solving skills that results in…","['detroit', ' mi']",detroit, mi
data analytics analyst,115871.09296740998,cherry tree dental,"three years experience with complex data management, analysis, and reporting of clinical and financial data. utilize internal data platforms to collect, analyze…",['remote'],remote,
entry-level data analyst,77500.0,the federal savings bank,1+ year experience in data analysis. utilize data to identify trends and opportunities for growth or improvement based on the context of a given dataset.,"['chicago', ' il']",chicago, il
data analyst on w2,130000.0,st global llc,ad-hoc sql query development skills. excellent powerpoint and ms excel skills including general pivot charts and basic formula skills.,['remote'],remote,
data analyst,115871.09296740998,alliance health professionals pllc,2-3 years experience in a medical facility analyzing data is required. knowledge of pc-based applications used for data management.,"['clinton township', ' mi']",clinton township, mi
"data analyst (fully remote, nationwide)",115871.09296740998,"tcg, inc.",organize and format data to ensure efficiency and quality in data storage and retrieval. prepare and present quantitative data for an executive audience.,['remote'],remote,
data analyst,110000.0,"seventh sense consulting, llc","knowledge of master data management and data governance. familiarity with data quality and data governance concepts. cdp certification (desired, not required).",['remote'],remote,
data analyst,115871.09296740998,curative,the data analyst will work on our data team alongside data scientists and data engineers. the objective is to increase the data team's capacity for providing…,"['austin', ' tx']",austin, tx
data analyst,52000.0,crescent community health center,"perform data audits to ensure accuracy of complex healthcare data. bachelor's degree, five (5) or more years of relevant experience, or in pursuit of degree, in…","['dubuque', ' ia']",dubuque, ia
data analyst,117500.0,etha one,validating quality of data and analysis. identifying analytical approaches and appropriate data to investigate. main duties include but are not limited to:,['remote'],remote,
data analyst,83200.0,ingress it solutions,compile and analyze data related to business' issues. develop clear visualizations to convey complicated data in a straightforward fashion.,['remote'],remote,
data analyst,55000.0,"blue river financial group, inc.","market research and/or data analysis. manage, organize, and fix data within blue river’s crm (dealcloud). scrub data to assure target and buyer lists contain…",['remote'],remote,
data integrity analyst,115871.09296740998,carhartt,design random and scheduled master data audits of various data domains in support of data governance. participate in data governance and other projects related…,"['dearborn', ' mi']",dearborn, mi
data product analyst,115871.09296740998,adobe,changing the world through digital experiences is what adobe’s all about. we give everyone—from emerging artists to global brands—everything they need to design…,"['san jose', ' ca']",san jose, ca
"analyst, insights",57750.0,monigle associates inc,"analyze data and uncover meaningful brand insights, proof quality and accuracy of data. strong attention to detail and a keen eye for reading research.",['remote'],remote,
data analyst,115871.09296740998,poloniex,"collect/manage diverse data to generate curated data sets for ease of interpretation and reporting. perform complex data analysis of customer data, provide…","['boston', ' ma']",boston, ma
data analyst,82500.0,ruprecht/kilcoy,"developing and maintaining data systems – reorganizing data in a readable format. experience in data models, database design development, data mining, and…","['mundelein', ' il']",mundelein, il
data analyst,62500.0,bbc research & consulting,"benefits: health insurance (with dental and vision), life insurance, retirement plan with 3 percent employer match, accrued flex time.",['remote'],remote,
data science analyst,115871.09296740998,optimal inc.,the selected individual will assist in the development of a research data analytics platform; collaborate with cross-functional teams for data collection and…,"['dearborn', ' mi']",dearborn, mi
market data analyst,110000.0,maystreet,"must have a basic understanding of market data delivery methods as well as data access methodologies, including general api terminologies and functions.",['remote'],remote,
data analyst i full time - 100% remote,115871.09296740998,affine analytics private limited,"experience*: 3 years – 6 years. we offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics,…",['remote'],remote,
data analyst (remote),70000.0,pulsedata,you'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. bonus points for any experience in spark.,"['new york', ' ny']",new york, ny
clinical data analyst,115871.09296740998,health gorilla,establish data quality standards for incoming clinical data from multiple sources. evaluate data quality and data performance metrics of our processing…,"['miami', ' fl']",miami, fl
business analyst,115871.09296740998,kinetix,at the drive through you break down why some restaurants get you a royale with cheese in 10 minutes and then promptly share your results with the manager of…,['remote'],remote,
business analyst - 100% remote,115871.09296740998,gen3 technology consulting llc,"3 weeks pto per year. use data to create overall cost versus benefit assessment while considering functional benefits, technical performance, risks, and…",['remote'],remote,
data analyst i (us - contract),91520.0,expedia group,"apply your expertise in quantitative analysis, data visualization, statistical methods, and data mining to understand finance data within both established and…","['austin', ' tx']",austin, tx
senior supply chain data analyst - 100% remote,95000.0,bluesky technology solutions,healthcare supply chain analytics: 5 years (preferred). supply chain cost savings/process improvement project: 5 years (preferred).,['remote'],remote,
data analyst,130000.0,x2logics,proven working experience as a data analyst or business data analyst. acquire data from primary or secondary data sources and maintain databases/data systems.,['remote'],remote,
data analyst (remote),120500.0,cbre,"bachelor's degree from top tier school in computer science, math, engineering or related field with a minimum of 3 years of experience in quantitative analysis,…",['remote'],remote,
data analytics and reporting analyst,115871.09296740998,ally financial,"assist with data governance support, including data definitions and subject matter knowledge. provide validated & reconciled data extracts for audits, and other…","['detroit', ' mi']",detroit, mi
research data analyst,115871.09296740998,komodo health,"published manuscripts using claims data. at least two years of experience working with healthcare claims (data query, data cleaning, descriptive and inferential…","['new york', ' ny']",new york, ny
integrated data analyst- intermediate (remote),115871.09296740998,upmc,"2 years of experience in data analytics required. apply data-mining, statistical and advanced modeling techniques.",['remote'],remote,
senior data & research analyst,115871.09296740998,dialexa,experience with visualizing data and deriving actionable insights from data. utilizing quantitative methods to create data-driven personas.,"['chicago', ' il']",chicago, il
data solutions analyst,115871.09296740998,brand id,"this role is responsible for mapping, integrating, transforming, formatting and maintaining sets of data, ensuring data accuracy and consistency.",['remote'],remote,
research data analyst,115871.09296740998,yale university,document data processing and workflows. proficiency in r programming and data processing. experience working with spatial data and maps.,"['new haven', ' ct']",new haven, ct
data analyst and visualization specialist,115871.09296740998,booz allen hamilton,"2+ years of experience with data analysis, data visualization analysis, or data engineering. change current tableau dashboards to power bi, respond to ad hoc…","['mclean', ' va']",mclean, va
clinical data analyst,115871.09296740998,infirmary health,provides data analysis and administrative support to assigned department according to established standards. excellent communication and keyboarding skills.,"['fairhope', ' al']",fairhope, al
data and reporting analyst (remote),67068.0,university of colorado,"experience with varied data platforms, including knowledge of query tools and data warehouses. perform qc of all department outputs including analyses and…","['aurora', ' co']",aurora, co
data visualization analyst,115871.09296740998,farm journal,organize and clean unstructured data to present through tableau and alter data models and package structure as business requirement change.,['remote'],remote,
covid-net data analyst,72000.0,cdc foundation,"perform basic data management, data cleaning and statistical analysis using sas, r, or other statistical programming language on infectious disease data to…",['remote'],remote,
data analyst,115871.09296740998,scripps health,"may be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis. gathering operational data to examine past business…","['san diego', ' ca']",san diego, ca
data analyst,69340.0,cresen solutions,hands-on technical experience and ability to perform data analysis. attention to detail and strong focus on technical analysis.,['remote'],remote,
research analyst (remote - united states),115871.09296740998,age of learning,"conduct data validation checks to ensure that all data are error-free. produce descriptive reports of data, highlights on specific findings, and summaries of…",['remote'],remote,
data analyst/modeler,82500.0,millennial specialty insurance,"experience building and optimizing ‘big data’ data pipelines, architectures and data sets. experience with cloud-based data warehouse, data lake, and enterprise…",['remote'],remote,
technical data analyst,115871.09296740998,disney media & entertainment distribution,"familiarity with data exploration and data visualization tools like tableau, looker, chartio, etc. this expertise will manifest in the design and implementation…","['new york', ' ny']",new york, ny
"business analyst , sps content management",102200.0,amazon.com services llc,working knowledge and hands-on experience with data modeling and data warehouse. experience defining requirements and using data and metrics to draw business…,['remote'],remote,
staff data analyst (100% remote),115871.09296740998,nice healthcare,actively mentor other analysts on the team. consult on methods of data collection and experimentation. you have significant experience with healthcare data and…,['oregon'],oregon,
"jr. analyst, master data management",115871.09296740998,sig sauer,ensures master data integrity in the key system master data (oracle ebs erp and oracle agile plm). use previously created sql data load definitions to update…,"['newington', ' nh']",newington, nh
it data analyst,115871.09296740998,"nbty, inc.",*design and analyze data tools; launch dashboards and grow mau*. *develop analytical frameworks to monitor the performance of major finance team data…,['remote'],remote,
entry level business analyst,70000.0,data cloud merge,assist the testing team in developing the test plans for quality assurance based on functional requirements. proficient in translating business requirements and…,['remote'],remote,
sql data analyst (customer success),115871.09296740998,eventbrite,"2-5 years of relevant experience in data science, analytics, or consulting. this role will be filled by a self-starter who will equip customer success leaders…",['remote'],remote,
business analyst ii,114379.0,dish,developing critical analytics and propensity models using key dish data sources including the viewer measurement data and dish crm data.,"['new york', ' ny']",new york, ny
business data analyst,115871.09296740998,draftkings,"1+ years experience operating as a business, marketing, or data analyst. drive the development of data visualizations and dashboards that help quickly tell the…","['boston', ' ma']",boston, ma
lab data analyst - full time,115871.09296740998,saint peter's healthcare system,or at least 3 years lis experience. the lab data analyst maintains responsibility for the laboratory computer system to maintain maximum efficiency of operation…,"['new brunswick', ' nj']",new brunswick, nj
senior reporting analyst (remote),115871.09296740998,kornferry,"proactively audit data, highlight any variances to the business and help improve data quality. help to continually improve data management, suggest…",['remote'],remote,
research data analyst 1,115871.09296740998,stanford university,"analyze data processes in documentation. use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause…","['stanford', ' ca']",stanford, ca
data analytics (medicare grievances) lead analyst2 - work from home,92650.0,cigna,"improved data management, performance, and processes by utilizing performance metrics and informational management systems. perform adhoc reports as needed.","['hartford', ' ct']",hartford, ct
data analyst -business intelligence analyst,115871.09296740998,"s3 shared service solutions, llc",develops data models and queries. completes data analysis and identifies trends. strong business and data analytics experience.,['united states'],united states,
data analyst,100000.0,stardom employment consultants,ability to review large data sets using pivot tables and lookups. must be capable of leading a team and be detail-oriented.,"['kingsburg', ' ca']",kingsburg, ca
data analyst,115871.09296740998,stanford university,"key data sources for our projects are large population-based cohort studies, household survey data (particularly the demographic and health surveys), and…","['stanford', ' ca']",stanford, ca
"data analyst, disney+ globalization and accessibility",115871.09296740998,disney media & entertainment distribution,"partnership and communication: partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform…","['santa monica', ' ca']",santa monica, ca
business analyst,115871.09296740998,east boston neighborhood health center,perform data extractions from various internal and external sites with concentrated focus on maintaining data integrity and integration into existing tools.,"['boston', ' ma']",boston, ma
business data analyst,109000.0,general motors,"3-5 years' experience translating business needs to data requirements, turning data into compelling stories, and completing the full cycle from data to…","['detroit', ' il']",detroit, il
data researcher and analyst | remote,115871.09296740998,moneygeek.com,"experience (0-3 years) in data analytics, reporting or business analyst. once hired, you will be required to learn and understand products in order to collect…","['san francisco', ' ca']",san francisco, ca
contact center data analyst - resource planning - work from home,63700.0,cigna,3 - 5 years of experience in operational improvement and/or operational effectiveness. strong presenting and influencing skills with ability to turn data into a…,"['hartford', ' ct']",hartford, ct
data and reporting analyst,115871.09296740998,"we ship express, inc.","experience required: 1-3 years of experience using microsoft excel to analyze, summarize and track data; advanced excel skills required.",['remote'],remote,
software data analyst,49000.0,pearson,this position is ideal for a recent graduate from a 4-year university with a degree similar to software engineering.,['united states'],united states,
data analyst,115871.09296740998,disney streaming,"familiarity with data exploration and data visualization tools like tableau, looker, chartio, etc. this expertise will manifest in the design and implementation…","['new york', ' ny']",new york, ny
2023 data science/analyst recent grad positions – cat digital,85000.0,caterpillar,"you may use data analysis, data management, and/or data visualization skills as an individual contributor to project teams tasked with solving business problems…","['chicago', ' il']",chicago, il
data analyst,115871.09296740998,unitedhealthcare,perform ad hoc data research using sql tools and fulfill various data requests. you will perform ad hoc data research using sql tools and fulfill various data…,"['santa ana', ' ca']",santa ana, ca
data analyst,115871.09296740998,cpl recruitment,"excellent eye for detail, with a curiosity mindset and attitude for data discovery. various analytical, reporting, data-consolidating tasks.",['remote'],remote,
business analyst (remote),115871.09296740998,intellibridge llc,shall have a minimum of five (5) years of experience focusing on business architecture analysis inclusive of: assist with monitoring overall project progress by…,['virginia'],virginia,
market data support analyst,110000.0,maystreet,"must have a basic understanding of market data delivery methods as well as data access methodologies, including general api terminologies and functions.",['remote'],remote,
associate data analyst,115871.09296740998,criteo,this role involves dealing with a considerable amount of complex data and requires a candidate who is comfortable thinking of innovative ways to analyze data…,"['ann arbor', ' mi']",ann arbor, mi
data analyst (pharma),115871.09296740998,infinity quest,extensive experience with data visualization. position: data analyst with pharma exp*. data analyst with 8-10 years expertise.,['remote'],remote,
business analyst,110240.0,del oro consulting,the duration of this project is a minimum of one year however ongoing renewals are possible. the ideal candidate is located in the cst time zone or willing to…,['remote'],remote,
