,title,company,salary,description,location
0,Data Science Analyst- Marketing,Indeed,"$100,000 - $140,000 a year","Work across a wide range of data engineering tasks - data extraction, data cleansing/processing, feature engineering, data integrity analysis, maintaining…",Remote in Texas+1 location
1,Data Analyst/Statistician,US Department of Veterans Affairs,"$51,980 - $103,518 a year",Create processes for assessing quality and accuracy of data.Working with healthcare data: 2 years (Preferred).Key Attributes of Successful Candidates *.,"Hybrid remote in Ann Arbor, MI 48105"
2,Departmental Analyst 9-P11 - Data Analytics,State of Michigan,,"And reporting, including biannual reports to the legislature, and (3) service in the role of Data Steward with regard to Treasury and CSB interfaces, adherence…","Dimondale, MI"
3,CRM Data Analyst,Zeiss Industrial Quality Solutions,"$60,000 - $70,000 a year","Responsible for maintaining SAP/CRM business partner additions, changes, and alignments within SAP/CRM.Help CRM users in maintaining core CRM data.","Wixom, MI 48393+1 location"
4,Data Analyst,Winwire Technologies,,"Providing resource to add/delete/amend data within any of the production systems.Manipulating data within Excel, notepad, Access, and any other tools available…",Remote
5,Junior Data Analyst - DAL22-033349999999,"Evergreen Technologies, LLC.",,"Experience with data wrangling, data cleaning and prep, dimensionality reduction.Experience querying data from relational databases using SQL.","Remote in Detroit, MI+7 locations"
6,Junior Data Analyst,Teamson,,"At least two years of experience as an analyst working with large data sets.Accurately gather and analyze data from Tableau, SAP, and other data sources.",Remote
7,Entry Level Data Analyst,"Antra, Inc","From $60,000 a year",Secure access to data sources Determine data accuracy and usefulness Define processes to Improve the quality of data (standards) 1.,+1 locationRemote
8,"Senior Data Analyst, IT Remote",U.S. Medical Management,,Perform data cleansing to identify erroneous data and initiate corrections needed.Collaborate with team members to collect and analyze data.,"Remote in Troy, MI 48084"
9,Business Data Analyst (Remote),Digital Strategy LLC,"$90,000 - $100,000 a year","Supports data efforts in system modernization projects including synchronizing data, establishing data reporting processes, leading data quality efforts, and…",Remote
10,Data Analyst,AccumTech,"$65,000 - $85,000 a year",You will monitor incoming and outgoing data feeds to ensure they are healthy and data is passed correctly.As a Data Analyst at AccumTech you will join a team…,"Ann Arbor, MI 48105"
11,Data and Policy Analyst,University of Michigan,"$60,000 - $68,000 a year","Data processing and management: gather, process, merge, manage and archive data; enter data into databases; document all data processing steps; create, maintain…","Hybrid remote in Ann Arbor, MI 48109"
12,Data Analyst,Spokeo,,"We collect data from a wide variety of public sources and need someone with a curious mindset who is ready to dive deep to define business rules, identify…","Remote in Pasadena, CA 91101"
13,Data Analyst,Alliance Health Professionals Pllc,,2-3 years experience in a Medical Facility analyzing data is required.Knowledge of PC-based applications used for data management.,"Clinton Township, MI 48038"
14,Remote Data Analyst,ADT Security Services,"$50,000 - $74,000 a year","Familiarity with Mastermind Business/Monitoring data tables.They may develop databases and systems for inputting, managing, and securing an organization’s data…",Remote
15,Data Analyst,AccumTech,"$65,000 - $85,000 a year",You will monitor incoming and outgoing data feeds to ensure they are healthy and data is passed correctly.As a Data Analyst at AccumTech you will join a team…,"Ann Arbor, MI 48105"
16,Data and Policy Analyst,University of Michigan,"$60,000 - $68,000 a year","Data processing and management: gather, process, merge, manage and archive data; enter data into databases; document all data processing steps; create, maintain…","Hybrid remote in Ann Arbor, MI 48109"
17,Remote Data Analyst,ADT Security Services,"$50,000 - $74,000 a year","Familiarity with Mastermind Business/Monitoring data tables.They may develop databases and systems for inputting, managing, and securing an organization’s data…",Remote
18,Data Analyst,Spokeo,,"We collect data from a wide variety of public sources and need someone with a curious mindset who is ready to dive deep to define business rules, identify…","Remote in Pasadena, CA 91101"
19,Data Analyst,Alliance Health Professionals Pllc,,2-3 years experience in a Medical Facility analyzing data is required.Knowledge of PC-based applications used for data management.,"Clinton Township, MI 48038"
20,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
21,Business Analyst,"BCVS Group,inc",$30 an hour,Assist in the testing process through the development of test cases and data.Gather business and technical requirements for application modifications and…,"Farmington Hills, MI"
22,Sr. Data Analyst - remote,The Key,"$76,157 - $166,918 a year",*3 to 5 years of relevant work experience. *.Your main tasks will include analyzing sales and inside sales data to come up with actionable recommendations that…,+1 locationRemote
23,"Senior Data Analyst, Games & Live Ops",PlayStation Global,,Demonstrated analytical skills working with large sets of complex data.This position will develop and manage towards a data analytics vision for PlayStation…,"Remote in San Mateo, CA+2 locations"
24,Data Analyst,Vaco,,Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…,"Remote in New York, NY+5 locations"
25,Remote Data Analyst Training and Placement in Precision Tech...,precision technologies corp,$30 - $60 an hour,"Proven ability to apply advanced descriptive, inferential, exploratory, and predictive statistical techniques, including data mining and machine learning…",Remote
26,Healthcare Data Analyst,"Second Wave Delivery Systems, LLC",,"As a data analyst you will be inspecting, cleansing, transforming, and modelling data with the goal of discovering useful information, informing conclusions,…",Remote
27,IT Business Analyst,Stafford Gray LLC,$40 - $45 an hour,Candidate will be in office 2 days a week and work remotely 3 days a week.*.Azure DevOps: 3 years (Required).Business Analyst: 3 years (Required).,"Hybrid remote in Lansing, MI 48933"
28,Data Analyst,Infinity Quest,,Extensive experience with data visualization.Pharmacy software: 3 years (Preferred).Data management: 3 years (Required).,+1 locationRemote
29,Data Analyst,Accumulation Technologies,"$65,000 - $85,000 a year",You will monitor incoming and outgoing data feeds to ensure they are healthy and data is passed correctly.As a Data Analyst at AccumTech you will join a team…,"Ann Arbor, MI"
30,Data Analyst,Curative,,The data analyst will work on our data team alongside data scientists and data engineers.The objective is to increase the data team's capacity for providing…,"Remote in Austin, TX 78704"
31,Jr. Data Analyst - Medicare,MyPlanAdvocate,"$60,000 - $65,000 a year","Assist with the design and development of high-visibility projects including data mining, data analysis, and visualization via Power BI.",Remote
32,Program Analyst,U.S. Department of State,"$74,950 - $116,788 a year","B. Have a Ph.D. or equivalent doctoral degree OR 3 full years of progressively higher level graduate education leading to such a degree, or LL.M. from an…","Hybrid remote in Washington, DC 20520"
33,Entry level Data Analyst,Emonics LLC,$40 - $60 an hour,"Collaborate with Healthcare analytics business and data SMEs to profile, analyze, and model data, including creating logical mapping of source data into target…",Remote
34,Associate Data Analyst,FUND Consulting,"$40,000 - $60,000 a year","1-3 years of experience in the data analysis lifecycle, including data collection, cleaning, transforming and analysis.This will be a remote position.",Remote
35,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
36,Data Analyst,"Iver Solutions, LLC",$70 - $72 an hour,5-8 years of Experience in pulling large and complex data using SQL and writing data pipelines and Statistic Modeling.,"Seattle, WA"
37,Telesales Data Analyst,Elite Insurance Partners,"From $60,000 a year",Storytelling with data via dashboards and data visualizations in tools such as Tableau or Google Data Studio and good presentations skills.,+1 locationRemote
38,Health Data Analyst,"NN Tech, LLC",,This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics.Designing database tables and structures.,Remote
39,Data Research Master,ucd,From $22 an hour,"We need a researcher to help gather, organize, and present data for buyers and owners of commercial property.Researcher will also help gather, organize, filter…",Remote
40,Data Analyst (Remote),pulseData,"$60,000 - $80,000 a year",You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.Bonus points for any experience in Spark.,"Remote in New York, NY"
41,"Data Analyst, adidas",Archrival,,Collect and connect data from multiple unstructured sources to aid in a comprehensive view of project performance – included establishing relationships with…,"Portland, OR"
42,Data Analyst - Telecommute,UnitedHealthcare,"$66,100 - $118,300 a year",Ability to communicate and present data to stakeholders.Intermediate level proficiency with data visualization tools such as Tableau or Power BI.,"Remote in Minnetonka, MN 55345+3 locations"
43,Data Analyst,Vaco,,Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…,"Remote in New York, NY+5 locations"
44,Business and Data Analyst,Stellantis,,"This includes requirements gathering, developing a rich understanding of required data, facilitating the design of deliverables, partnering with technical and…","Auburn Hills, MI 48326+1 location"
