,title,company,salary,description,location
0,Data Engineer,Human Interest,"$130,000 - $145,000 a year",Help build a world class data environment.Work with engineering teams across the company to improve data tracking.Generous PTO and parental leave policies.,"Remote in San Francisco, CA"
1,Data Engineer,"Optomi, LLC.","$120,000 - $200,000 a year",Develop automated data quality check to make sure right data enters the platform and verifying the results of the calculations.,Remote
2,Data Engineer - 100% Remote,Paramount Pictures,,The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing existing data systems and building new ones from the ground…,Remote
3,Data Engineer AUG76,Zllius Inc.,,"Good experience on designing and developing data pipelines for data ingestion and transformation using Spark.Deep knowledge in partitioning, bucketing concepts…","Canton, MI 48187"
4,Data Engineer,Laiba Technologies,$55 - $60 an hour,Strong data manipulation and data analysis skills.5+ years’ experience performing data engineering in a ODS environment.Data warehouse: 1 year (Preferred).,Remote
5,Data Engineer,1 Point Systems,Up to $100 an hour,"Designs and develops a consolidated, conformed enterprise data warehouse and data lake which store all critical data across Customer, Provider, Claims, Client…","Morris Plains, NJ"
6,Data Engineer III (US - Contract),Expedia Group,$100 - $118 an hour,Enthusiastically seek out solutions for data engineering problems.Minimum 5+ years developing data and software solutions including ETLs.,"Seattle, WA 98119 (Interbay area)"
7,Senior Data Engineer,Anheuser-Busch,"$135,000 - $165,000 a year",In this role you will work at the intersection of understanding business problems so that you can build data assets to support products that invoke people to…,"New York, NY"
8,Data Engineer,Blue Origin,"$124,000 - $208,000 a year","Monitoring, maintaining and improving Blue Origin’s data pipelines and associated infrastructure, facilitating the greatest possible utilization and trust of…","Seattle, WA"
9,AWS Data Engineer,KLap6,From $80 an hour,"Experience in data ingestion, enrichment, validation.2-5 years of data pipeline development experience in AWS.Data Pipeline: 2-3 Years.AWS S3: 2-3 Years.",Remote
10,Healthcare Data Integration Engineer (100% Remote in US),ArborMetrix,,"Experience in using data integration / ETL tools.Our data science platform allows for efficient aggregation and deep analysis of healthcare data, and deploys…","Remote in Ann Arbor, MI 48104"
11,Data Engineer,Concept Software and Services,$70 - $80 an hour,"Data engineer: 10 years (Required).Big data: 10 years (Required).Overall, 12+ years of experience handling complex data.Remote (EST Time Zone Only)*.",Remote
12,Data Engineer 2145853,Amazon,"$175,000 - $350,000 a year","Data architecture: 1 year (Preferred).1+ years of experience contributing to the data architecture and design (architecture, design patterns, reliability and…",Remote
13,Data Engineer,Detroit Red Wings,"$72,750 - $151,798 a year",Experience building data warehouses for data science and analytics.Lead the data team and data infrastructure initiatives within Hockey Operations.,"Detroit, MI 48201 (Midtown area)"
14,Amazon Quicksight Data Visualization Engineer,"Comprehensive Resources, Inc.",$70 - $90 an hour,"The decisions are crucial in how the customers around the world analyze and visualize data.Mentor other engineers, define the technical culture, and help grow…",Remote
15,Data Engineer,confidentioal,$60 - $63 an hour,"Good to have: Data science experience, data pipelines, data structures.Do not need data mining.Batch processing; not real time data.",Remote
16,Data Warehouse Engineer,Pinger,,"Support Ad-hoc data related requests using MySQL, S3 and AWS Redshift.Must have knowledge of database design and modeling in the context of data warehousing.",Remote
17,2023 University Graduate - Data Engineer,Adobe,,"Partner with other data engineers to learn new skills and share your expertise.Experience building data pipelines to ingest, transform and present data that…","Lehi, UT 84043"
18,Software/ Data Engineer (2023 GRADS),Procter & Gamble,,"The work you will be doing could be anything from building data pipelines to feed ML models on petabytes of data and serve predictions globally, to building out…","Cincinnati, OH"
19,Data Pipeline Engineer,American Unit,$70 - $90 an hour,"Project goal: Assist in the initial design and build of the foundational data pipeline infrastructure *.3 years of experience installing, configuring, and…",Remote
20,Data Engineer,Interon IT Solutions LLC,$60 - $65 an hour,"Assist managers to monitor and comply with State data security requirements.Install, Administer, Upgrade and Manage Informatica MDM platform - master data…",Remote
21,Data Engineer,Tekskills,,"Assist managers to monitor and comply with State data security requirements.Install, Administer, Upgrade and Manage Informatica MDM platform - master data…",Remote
22,Data Engineer (Remote Option),University of Michigan,"$100,000 - $109,000 a year","This position is for a data engineer who can wrangle messy and complicated data, pull data from APIs, and build structured data products for use in machine…","Remote in Ann Arbor, MI 48109"
23,Data Engineer,6sense,,"Adapt and implement new technologies to improve data ecosystem and overall data health.Create, validate and maintain optimal data pipelines, assemble large,…","Remote in San Francisco, CA"
24,Junior Data Engineer (Remote),Serenity Healthcare,,"The Junior Data Engineer will be responsible for keeping the data flowing, building new data pipelines, and creating business applications using MS-PowerApps.",Remote
25,Data Engineer,Cloud Zenix,$45 - $65 an hour,"Data from a wide variety of data sources using Spark, SQL, HQL and other technologies.Big data: 8 years (Preferred).GCP is a big plus, Azure is also fine.",Remote
26,Climate Data Engineer,USB Outsourcing,"$160,000 - $200,000 a year","Partner with technology architecture and engagement teams to design, develop and deliver solutions for ESG-related projects.",Remote
27,Lead Data Engineer,Nike,"$121,000 a year","Perform design, code and test plan reviews developed by other data engineers in support of maintaining data engineering standards.","Remote in Beaverton, OR"
28,Data Engineer,Resourznet Consulting,$60 - $62 an hour,"Interface with data engineers, data scientists, product managers and internal stakeholders.Expertise with data pipeline orchestration tools, such as Airflow.",Remote
29,Data Engineer,(QSI) - Quality Systems Integrators,$70 - $96 an hour,"Provide centralized direction for metadata repositories, data definitions and data relationships.Work with Enterprise Data Architect to validate project data…",Remote
30,Data Quality Engineer,Coupa Software,,"Solid experience in writing SQL queries, data modeling and analytical skills on large customer data sets.Solid understanding of End to End data warehousing…","Remote in Ann Arbor, MI"
31,Big Data Engineer,STM Consulting.Inc,$50 - $60 an hour,Big data: 1 year (Preferred).2.The recommendation should be based on data retention policies and usage patterns.7.Document the new database schema design.,"Atlanta, GA"
32,Big Data Cloud Engineer,1 Point Systems,Up to $85 an hour,"Develop and implement a data management, data quality or metadata research plan that may include small teams.Engage with and support data management teams with…","Des Moines, IA 50320 (South Park area)"
33,Data Engineer,FocusKPI Inc.,,"Develop tools to monitor, debug, and analyze data pipelines to ensure data quality and reliability.Have 3+ years of experience working with data warehouse/data…",Remote
34,Data Engineer,Global IT Resources,$70 - $80 an hour,Data engineer: 5 years (Required).Must be able to optimize our data flow and prepare the data for the data visualization (example: Tableau).,Remote
35,Data Platform Engineer,Major League Baseball,,"Create and manage MLB data products.Organize disparate data into business domains.We are seeking motivated engineers to build, maintain and use our platforms…","New York, NY"
36,Data Engineer,Freemind solutions,$60 - $65 an hour,"Data engineer: 8 years (Preferred).Demonstrated analytical and problem-solving skills, particularly those that apply to a big data environment.",Remote
37,Data Engineer,TheHive,$20 - $70 an hour,"The data engineer designs and develops data models, collects and analyzes data for insights and communicates how those findings improve reliability, customer…",Remote
38,"Senior Data Engineer, Content",Netflix,,"Build strong partnerships with data scientists, analytics engineers and.Data warehousing, data modeling, and data transformation.",Remote
39,Data Engineer,Apptrics LLC,$65 - $70 an hour,"Excited to build data platforms and tools that abstract implementation details for developers, analysts, and data scientists, enabling data transit.",Remote
40,Data Engineer,Twitch,,"Experience handling People-related data including compensation, performance, hiring, and engagement data.You will empower the business to integrate data into…","Remote in San Francisco, CA"
41,Big Data Engineer,Stellar Inc.,$75 an hour,"Solve big data engineering problems.3+ years of proven experience in collaborating with data architects, data scientists and enterprise platform team in…",Remote
42,Data Analytics Engineer (Remote),Axle,,"Strong working knowledge of data warehousing, schema, and data modeling best practices.Drive data quality by transforming dynamic data and business logic into…","Remote in Atlanta, GA 30336"
43,Data Engineer,Clicktripz,,"Knowledge of data management fundamentals and data storage principles.Experience with data modeling, data warehousing, and building ETL pipelines.","Manhattan Beach, CA"
44,Data Engineer,RADcube,$45 - $100 an hour,Experience tracking data lineage (IGC preferred).Experience using cloud technology - AWS/Snowflake/S3 (anyone).Passion for quality and testing practices.,Remote
45,Data Engineer/Senior Data Engineer,The Walt Disney Company (Corporate),,We apply data engineering and business intelligence analysis to various data sources to generate business insights in the form of curated data.,"Seattle, WA"
46,Junior Data Engineer,Pepsico,"$90,000 - $100,000 a year",Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,Remote
47,Data Engineer,NucleusTeq,,Hands on BI Data Engineer role with strong.Creating KPI Dashboards - Interactive Dashboards using tableau / Quicksight.,Remote
48,Data Engineer,TMS LLC,,"4+ years of data warehousing experience (Redshift or Snowflake).5+ years of experience with Distributed data/computing tools (Spark, Glue).","Emeryville, CA"
49,Data Scientist Engineer,Toyota Boshoku America (TBA),,"Collaborate with dynamic team of engineers, developers, and scientists who research and integrate algorithms to develop solution to address complex data…","Novi, MI"
50,Data Engineer,Quadrant Resource,,"Experience of working in Agri Research & Development projects, working with complex data like genomic sampling, selection data, variant data etc.",Remote
51,Data Engineer,FIIDUS,,Experience using data warehouses including Teradata & Google Big Query.A minimum of 4+ years of relevant professional experience in a data analysis role.,Remote
52,Data Engineer,Ford Motor Company,,"We’re seeking an experienced Data engineer professional to collaborate closely and continuously with fellow engineers and product owners to build, validate and…","Dearborn, MI"
