,title,company,salary,description,location
0,Data Analyst/Statistician,US Department of Veterans Affairs,"$51,980 - $103,518 a year",Create processes for assessing quality and accuracy of data.Working with healthcare data: 2 years (Preferred).Key Attributes of Successful Candidates *.,"Hybrid remote in Ann Arbor, MI 48105"
1,Data Scientist - 100% Remote,Paramount Pictures,,Working with data engineers to obtain useful and quality data for data science projects.2+ years of experience in a data analytics or data science role.,Remote
2,"Associate, Data Science (Remote)",Lincoln Financial,"$65,900 - $83,700 a year","Researches existing and emerging data science principles, theories, and techniques.Partners with manager/team leads to create visualizations & data storylines…","Remote in Radnor, PA"
3,"Data Scientist, Spotify For Artists",Spotify,,You’re a compelling storyteller who can communicate in succinct and inspiring ways to audiences with varied data science experience to influence real world…,"Remote in New York, NY"
4,Data Scientist (Remote),Yelp,"$88,000 - $220,000 a year","Communicate key insights from analyses, experiments and data products to stakeholders.Expertise in SQL, and R or Python for data analysis and platform…",Remote
5,data scientist (multiple openings) - Remote,Starbucks,,"Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data.","Remote in Seattle, WA"
6,Part-Time Student-Data Engineering-Remote,John Deere,,"Experience working with Data Scientists and deploying and supporting data science models.Develop the next generation of data products that enable secure,…","Remote in Urbandale, IA"
7,Data Scientist,the NBA,,"Comfort with ambiguity in data and experience in working with partners to optimize third-party data streams.Bachelor's Degree in computer/information science,…","New York, NY 10022 (Midtown area)"
8,Junior Data Scientist,Acima,"From $80,000 a year",Wrangle data using python or SQL to access our Redshift hosted data warehouse.We are looking for a developing data scientist that is interested in applying…,"Remote in Draper, UT 84020"
9,Junior Data Scientist,Augray,"$55,000 - $60,000 a year","Bachelor/master’s degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields…","Remote in Brookfield, WI"
10,Data Scientist,Oracle,,"Work on multiple stages of data science projects, including data pipeline, aggregation, feature engineering, modeling and visualization.",United States
11,Data Scientist or Bioinformatician (remote),UT Southwestern Medical Center,"$67,000 - $120,000 a year","For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning…",Remote
12,Data Scientist,OtterTune,"$100,000 - $200,000 a year","This position will involve creating data pipelines and extracting new knowledge from the telemetry data (e.g., AWS Performance Insights metrics) that OtterTune…",Remote in United States
13,Data Scientist,PlayStation Global,,Drive improvements in data quality and structure within the data warehouse.Experience with querying and working with live data.,"Remote in San Diego, CA"
14,Data Scientist - Remote Opportunity,Vaco,"$140,000 - $155,000 a year",Data Scientist 2 Work with the CTO and VP of Engineering to help normalize our data/ETL pipeline for analysis and reporting.Retirement plan with company match.,Remote
15,Data Scientist,PlayStation Global,,Drive improvements in data quality and structure within the data warehouse.Experience with querying and working with live data.,"Remote in San Diego, CA"
16,Sports Data Scientist,ESPN,,Use strategic analytical approaches and techniques using data to answer sports questions.Strong knowledge in using SQL to query and modify data from databases.,"Bristol, CT"
17,Fall 2022 Igniting Careers Diversity & Inclusion Summit – Fi...,Bank of America,,Corporate Audit: This global team maintains robust processes for reviewing risk and controls throughout the organization including a fully dedicated Automation…,"Charlotte, NC"
18,Data Scientist,ClosedLoop,,Train and educate customer data scientists on best practices for data science in healthcare.Prior experience with healthcare data science is a big plus but not…,"Remote in Austin, TX 78704"
19,Data Scientist,PGA Tour,,Work with data architects and engineers to identify key data assets and develop code to access data via APIs.Create data models and conduct advanced analytics.,"Ponte Vedra Beach, FL"
20,Data Scientist,Salesforce,,"Render results of data analyses through advanced visualization and tabular reports.Contribute to the implementation of models, experiments and metrics that…",Remote in California
21,Jr. Data Scientist,Net2Aspire,"$65,000 - $80,000 a year", Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation…,Remote
22,Mathematician/Physicist,Kall Morris Inc,"$85,800 - $114,400 a year","Plot missions involving multiple rendezvous with separate resident space objects, calculating and optimizing for delta-v consumption and mission time.",Remote
23,Data Scientist (Can Be Remote),Pancreatic Cancer Action Network,,"Oversee business data and analytics team that manages data reporting and analysis.Degree in business, statistics, mathematics, computer science, engineering,…","Remote in Manhattan Beach, CA 90266"
24,"Product Insights Manager, Music Promotion",Spotify,,"You are user-centric and data-informed.Ideally, some of these years have been in marketing sciences or advertising spaces.","Remote in New York, NY"
25,Data Scientist,PayPal,,"Regularly evaluate and communicate performance of data driven risk solutions to management.Design, develop and maintain data-driven solutions for PayPal…",Remote in Arizona
26,Data Science Manager,Discord,"$153,600 a year",Experience with very large data sets and distributed computing.Experience partnering with business teams in a data-driven culture.,"Remote in San Francisco, CA 94107"
27,Data Scientist,Journera,,"Experience with working with large data sets.Experience working with pseudonymised data (encrypted, hashed, etc).Ability to levitate things with your mind.","Remote in Chicago, IL"
28,(Junior / Senior) Data Scientist - Sports Analytics,Zelus Analytics,"$75,000 - $150,000 a year","Assist with recruiting and outreach for the data science team, including building a diverse network of future candidates.","Remote in Austin, TX"
29,Data Scientist - 2023 Entry Level Sales (Accelerate),IBM,"$73,000 - $152,000 a year","Demonstrate a growth mindset; current on technical growth in the data science space.Applying data engineering techniques to gather, prepare, cleanse, and…","New York, NY 10001 (Chelsea area)"
30,Crypto Hedge Fund Trader,Job Protocol,"$100,000 - $300,000 a year",Data modeling skills (experience in Python or other data science language).Identify valuable and predictive data sources.Starting date: as soon as possible.,Remote
31,Data Scientist (Remote),Nielsen,,"The Nielsen Company is the largest global measurement company in the world with unique measurement technologies, assets, and data that make it one of the most…",Remote in United States
32,Data Scientist,Sunshine,,You are an accomplished data scientist that thrives in analyzing data and finding key insights.Demonstrated skills in selecting the right statistical tools…,"Palo Alto, CA 94303 (Adobe Meadow - Meadow Park area)"
33,Software Development Engineer - 2023 (US),Amazon.com Services LLC,"$129,000 a year","Currently enrolled in or completed within the last 12 months a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, Data Science, Electrical…","Seattle, WA"
34,Junior Data Engineer,Pepsico,"$90,000 - $100,000 a year",Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,Remote
35,Machine Learning Scientist,Wadhwani AI,,"We are looking for ML Scientists with experience applying AI, machine learning, and data science to real-world problems.Our accolades are as follows:",Remote
36,Data Scientist,The New York Times,,"Ability to communicate complex ideas in data science to relevant stakeholders.Experience with building data products, either internal or consumer-facing a plus…","New York, NY"
37,Data Scientist,US Geological Survey,"$61,947 - $116,788 a year","A. Degree: Mathematics, statistics, computer science, data science or field directly related to the position.Coordinates protocols and procedures necessary for…","Remote in Reston, VA"
38,Data Scientist,US Federal Energy Regulatory Commission,"$61,947 - $97,430 a year","Assessing the effectiveness and accuracy of assigned data sources and data gathering techniques, and recommending relevant process changes.This job is open to.","Washington, DC 20426 (NoMa area)"
39,Geospatial Data Science Advisor (Geographer) - Evernorth,Cigna,"$95,800 - $159,600 a year",Own development and deployment of a data quality assurance dashboard tracking our ETL processes.Develop actionable value- and data-driven communication for…,"Hartford, CT 06152 (Frog Hollow area)"
40,Data Scientist,Johns Hopkins Applied Physics Laboratory,,"Primarily apply knowledge in machine learning, artificial intelligence, data analysis, and software development to extract insights from data.","Laurel, MD 20723"
41,"PRODUCT ANALYST, DATA SCIENCE",DraftKings,,Experience with analytics or data science in a work or academic setting.You will work cross-functionally to identify high-value opportunities to implement data…,"Remote in Boston, MA"
42,Data Scientist,Middesk,,"As one of the few founding Data Scientists at Middesk, you will have the opportunity to shape the culture, technical vision and product direction of the company…",Remote in California
43,Data Science Associate (Remote),pulseData,,"Bachelor/Master Degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing…","Remote in New York, NY"
44,"Data Scientist, Advanced Microscopy",Eurofins USA,,An ideal candidate will have experience in both materials science and computer science/data science.EAG Laboratories is looking for a scientist who is eager to…,"Sunnyvale, CA"
45,Data Scientist,Piper Companies,"$130,000 - $160,000 a year","Perform data mining and data characterization to generate metrics for evaluating performance.Support Machine Learning R&D through data collection, signal…","Hybrid remote in Boston, MA"
46,Data Scientist,United Airlines Inc.,,2 years of professional data science or predictive modeling work with bachelors in statistics or master's degree in quantitative field if making career…,"Chicago, IL 60601 (Loop area)"
47,Data Engineer,FocusKPI Inc.,,"Develop tools to monitor, debug, and analyze data pipelines to ensure data quality and reliability.Have 3+ years of experience working with data warehouse/data…",Remote
48,Associate Data Scientist,GutCheck,"$80,000 - $100,000 a year","Typically, 1-3 years applying data science skills in the social or decision sciences.Support cross-functional efforts to develop databases and data feeds…","Remote in Denver, CO"
49,Director of Data Science,Oracle,,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.Hire and develop data engineers and data scientists.",United States
50,Data Scientist,Zettalogix Inc,$50 - $62 an hour,"Experience with data visualization a plus.Masters/PhD in a quantitative field (Computer Science, Statistics, Mathematics, Operation Research, etc.).",Remote
51,Data Scientist - Machine Learning,Boston Children's Hospital,"$91,000 - $125,000 a year","Lead an effort to establish a scalable and re-usable data science framework to handle heterogeneous data sources, and propose data analytical standards across…","Boston, MA 02115 (Mission Hill area)"
52,Emerging Tech Data Scientist,Great American Insurance Company,"$100,000 a year","Translate business problems/opportunities into technical requirements and data science specifications.Develops data mining architectures/models/protocols,…",Ohio
53,Data Scientist,Holiday Swap,,"Collecting structured and unstructured data.Enhancing the data collection process.Conduct thorough data cleaning, preparation, etc.",Remote in United States
54,Data Scientist,Intuitive Cloud,$80 - $100 an hour,Data analytic and transform raw data.Be able to Curate the market data and use it like python library.Financial sql snowflake dbt at the transform layer.,Remote
55,Data Scientist,PerfectRec,"$130,000 - $300,000 a year","Exploratory data analysis and data visualization.You'll be able to evaluate and explore existing sets of data, suggest new sources of data, and be able to…","Remote in Seattle, WA"
56,"Data Scientist, Product Analytics",Etsy,,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Remote in Brooklyn, NY 11201"
