,title,salary,jobtype,location,description
0,"Curriculum Developer, Data Science",,100% Remote Job,US National,"
            Evaluate existing <b>Data</b> <b>Science</b> curriculum, including analyzing student outcomes and working with School's <b>Data</b> <b>Science</b> instructors and coaches to ensure high-quality curriculum and technical accuracy. Lead curriculum projects from ideation to roll out.
        "
1,Data Science Director,,100% Remote Job,US National,"
            Drive development and implementation of large-scale <b>data</b> <b>science</b> products and solutions (Reporting, Analytics and Machine learning algorithms) using cloud and on-prem <b>data</b> systems and platforms. Build, manage/own entire analytics <b>data</b> pipelines.
        "
2,Director of Data Science,,100% Remote Job,"Australia, New Zealand","
            Looking for a Director of <b>Data</b> <b>Science</b> to lead the strategy and operations of our <b>data</b> <b>science</b> practice. Defining and executing on strategic goals for the <b>data</b> <b>science</b> practice to increase its impact internally and externally, through technology, skill...
        "
3,Director of Data Science,,100% Remote Job,United Kingdom,"
            Help hire, develop and retain top-tier talented <b>Data</b> Scientists. Develop your own leadership structure of <b>Data</b> <b>Science</b> Managers. Promote a culture of proactive, high-quality <b>data</b> insights that can impact the direction of the company.
        "
4,Data Science Lead,,100% Remote Job,"Canada, or US National","
            Apply various <b>data</b> <b>science</b> methods to understand the usage patterns of developers and builders who use the product. Identify, analyze, and interpret trends or patterns in complex <b>data</b> sets to develop a thorough understanding of products, users, and...
        "
5,Data Science Instructor,,100% Remote Job,US National,"
            Provide incredible and inspiring <b>Data</b> <b>Science</b> instruction; support the design &amp; teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and project explorations.
        "
6,Data Science Manager,,100% Remote Job,US National,"
            10+ years of experience, with some experience as a manager; depth in one of the following: social <b>science</b>, policy, statistics, machine learning; expert fluency with Python or R; extensive experience with <b>data</b> wrangling and <b>data</b> management...
        "
7,"Instructor, Data Science",,100% Remote Job,US National,"
            Provide academic support to learners in the form of office hours and/or live chat. Allocate time for proactive outreach for academic help on a weekly basis. 5+ years of working experience in a <b>data</b> <b>science</b> role.
        "
8,Data Science Manager,,100% Remote Job,US National,"
            Lead a small <b>data</b> <b>science</b> team by defining technology strategy. Develop a team of varied levels of seniority and expertise through direct leadership. Drive projects forwards with high efficiency. 4+ years of relevant professional experience. Remote.
        "
9,"Director of Data, Data Science and Analytics",,100% Remote Job,CA,"
            Full-time, remote candidate will oversee a growing <b>data</b> team that supports <b>data</b> <b>science</b>, drive investment in the <b>data</b> infrastructure, and develop the <b>data</b> roadmap. Must have experience as a <b>data</b> leader with skills in analytics and experimentation.
        "
10,Data Science Instructor,,Flexible Schedule Job,"New York, NY","
            Part-time job, flexible hours. Needs to be passionate about teaching others and is a <b>data</b> scientist.  Work on lecturing the course, develop curriculum for new and existing courses, lead course discussions, provide support to students, deliver lectures.
        "
11,Data Science Manager,,100% Remote Job,Work from Anywhere,"
            You will be responsible for overseeing the transformation of <b>data</b> and generation of actionable insights on customer behavior as well as measuring the performance of products. You also have a knack for understanding tech products and enhancing them...
        "
12,"Manager, Data Science",,100% Remote Job,US National,"
            Manage a business function that delivers significant enterprise value. Generate high-leverage solutions that deliver on the expectations of the function. Establish an overall vision and associated roadmap for team's work. Keep the team unblocked...
        "
13,Data Science Manager,,100% Remote Job,US National,"
            Partner closely with product, engineering, and business teams to understand feature adoption, proactively identify opportunities for improvement, and build robust scalable tools to empower decision-making at all levels of the company. Create novel and...
        "
14,Manager Data Science and Analytics,,Hybrid Remote Job,"Berlin, Germany","
            Help drive the <b>data</b> <b>science</b> &amp; analytics practice. Help advance the application of business intelligence, advanced <b>data</b> analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for analytics work...
        "
15,Data Science Product Manager,,Hybrid Remote Job,US National,"
            The <b>Data</b> <b>Science</b> Product Manager leads the development and deployment of analytics projects for the global marketing and sales organization. The role will require strong eye for business and hands-on experience with computer coding and statistics.
        "
16,"Senior Data Scientist, Data Science Products",,100% Remote Job,US National,"
            Partner with business leaders and work effectively across business, creative, and engineering groups to solve problems. Help build a positive culture across technical and business teams. 4+ yrs of professional experience in a <b>data</b> <b>science</b> role.
        "
17,Data Science Instructor,,100% Remote Job,US National,"
            Be responsible for corporate training course lectures and Bootcamp prep, mentor students one-on-one in project development, lead course discussions, and provide personalized support to students. Part-time remote job with flexible hours. 
        "
18,"Data Science Manager, Borrowing",,Hybrid Remote Job,"London, United Kingdom","
            Oversee and manage a <b>data</b> team within our Borrowing area, reporting to both our Borrowing <b>Data</b> Director and our Senior Manager for FinHealth Credit Strategy
Own the priorities and roadmap for <b>Data</b> in this team. Use your knowledge of the <b>data</b> and...
        "
19,Senior Data Science Manager,,100% Remote Job,US National,"
            Oversee the compiling, cleaning, managing, analysis, and visualization of large, one-of-a-kind educational datasets that include longitudinal, high-frequency <b>data</b> from millions of students, including their academic performance, in-class behavior...
        "
20,Data Science and Analytics Lead,,100% Remote Job,"Canada, or US National","
            Recruit, hire, manage, and mentor world-class <b>Data</b> Analysts and <b>Data</b> Scientists. Leverage your people management and technical expertise as well as design thinking to help a growing team of <b>Data</b> Scientists and Analysts deliver high-impact, actionable...
        "
21,"Data Science Manager, Operations",,100% Remote Job,United Kingdom,"
            You'll work closely with product managers, engineers, designers and researchers in an agile product environment. You'll champion the use of <b>data</b>, bring ideas to life through rigorous experimentation and A/B testing. You'll help us get the most out of...
        "
22,Director of Science,,100% Remote Job,"Toronto, ON, Canada","
            Seeking a director of <b>science</b> for a remote role. Will build <b>science</b> team vision, manage/develop a team of scientists, recruit/retain talent, lead projects, define/execute <b>data</b> initiatives, and monitor dashboards and statistics. Need eight years of exp.
        "
23,Senior Manager Data Science and Analytics,,Hybrid Remote Job,"Berlin, Germany","
            In this role you will help to drive the <b>Data</b> <b>Science</b> &amp; Analytics practice and play a critical role in helping advance the application of business intelligence, advanced <b>data</b> analytics and machine learning as a core building block for our market offerings.
        "
