,title,salary,company,description,location
0,Data Scientist - 100% Remote,,Paramount Pictures,Working with data engineers to obtain useful and quality data for data science projects. 2+ years of experience in a data analytics or data science role.,Remote
1,"Director, Data Science- SMB Labs","$214,000 - $310,000 a year",Indeed,You will set science strategy for the employer experience of posting & managing their job on Indeed for both the core product as well as innovative new products…,United States +5 locations
2,Data Science Analyst,,Oriental Trading Company Inc,Understanding of data measurement and data structures preferred. Retrieves data using SQL within the Netezza framework and quality-checks the data prior to…,"Omaha, NE"
3,Fall 2022 Igniting Careers Diversity & Inclusion Summit – FinTech & Data Science,,Bank of America,Corporate Audit: This global team maintains robust processes for reviewing risk and controls throughout the organization including a fully dedicated Automation…,"Charlotte, NC"
4,"Analyst, Product Research/Analyst I, Data Science (remote)","$69,400 - $126,200 a year",Liberty Mutual Insurance,"Work with massive amounts of data (e.g., 200 million records for our Liberty-brand Auto product) to build sophisticated models.",Remote
5,Data Scientist,,PayPal,"Regularly evaluate and communicate performance of data driven risk solutions to management. Design, develop and maintain data-driven solutions for PayPal…","Omaha, NE +6 locations"
6,"Manager, Data Science - AI Ethics","$164,000 - $238,000 a year",Indeed,"Fish for data: SQL, Pandas, MongoDB. Perform big data modeling work: Hadoop, Pig, Scala, Spark. The Manager, Data Science, AI Ethics will help define and lead…","Austin, TX +2 locations"
7,Jr. Data Scientist,"$65,000 - $80,000 a year",Net2Aspire, Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation…,Remote
8,Data Science Analyst- Marketing,"$100,000 - $140,000 a year",Indeed,"3+ years of work experience in data science, machine learning, data engineering, or analytics roles. Work across a wide range of data engineering tasks - data…",Texas +1 location
9,Data Scientist (Remote),"$88,000 - $220,000 a year",Yelp,"Communicate key insights from analyses, experiments and data products to stakeholders. Expertise in SQL, and R or Python for data analysis and platform…",Remote
10,"Analyst I/Analyst II, Data Science-Global Strategic Analytics (remote)","$88,000 - $161,600 a year",Liberty Mutual Insurance,Applies data science techniques; gains confidence in skill application using analytics and data science techniques to manipulate large structured and…,Remote
11,Sr. Data Analyst Credit Services (Remote/Work From Home),,Workathomejobboard,"3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…","Omaha, NE"
12,Director of Data Science - Job Seeker,"$253,000 - $367,000 a year",Indeed,"Have full stack experience in data collection, aggregation, analysis, visualization, productionisation, and monitoring. Austin 214,000 - 310,000 USD per year.",Indiana +10 locations
13,"Data Scientist, Malware Detections Team (Remote)",$120 - $190 an hour,CrowdStrike,"Extensive post/undergraduate experience in data science, machine learning, or any field employing computational science or data driven analyses.",Remote
14,Energy Data Risk Analyst,,Omaha Public Power District,Relevant certifications related to data science and/or energy markets. This position possesses energy data science experience and expertise to strengthen…,"Omaha, NE"
15,Data Science/Analytics Consultant,"$110,000 - $150,000 a year",Miles Ahead,Support Analytics team in setting up the Business ETL and analysis architecture. Work with Mobile Analytics team in executing product performance and…,Remote
16,Data Scientist (Junior) - Evernorth,"$74,600 - $124,400 a year",Cigna,"Support these integral components of the ML life cycle: data acquisition, data preparation/processing, and feature engineering.","Hartford, CT"
17,Data Science Manager,"$164,000 - $238,000 a year",Indeed,"We build the centralized data source of hires that occur on Indeed, and we support other teams that use our data to improve Indeed’s products.","Austin, TX"
18,Junior Data Engineer,"$90,000 - $100,000 a year",Pepsico,Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,Remote
19,"Executive Assistant, Data Science (Remote)",,CrowdStrike,Works on problems where analysis of data requires review of a variety of factors. We are seeking a talented and highly motivated Executive Assistant that will…,California
20,Product Science Manager (Data Science),"$154,000 - $224,000 a year",Indeed,"Can fish for data: SQL, Pandas, MongoDB. Can do big data modeling work: Hadoop, Pig, Scala, Spark. Product Science advances data-driven decision-making using…",Iowa +5 locations
21,Data Science- Database/Applications Analyst,,Salud Revenue Partners,Responsible for auditing system alignment and data integrity. Ability to critically evaluate and merge data from multiple source systems.,Remote
22,Data Scientist,"$77,715 - $191,043 a year",Synaty Technologies,"Intuition for data science best practices, stemming from proven experience. Keen eye for detail and thoughtful investigation of data before relying upon it.",Remote
23,"Assistant/Associate Engineer, 2023 Engineering Development Program (EDP), Data Science Engineer",,Johnson & Johnson,"After completing this 3-year program, participants will continue in challenging data science and engineering roles, delivering tomorrow’s surgical innovations.","Cincinnati, OH"
24,Senior Data Analyst - Telecommute,"$82,100 - $146,900 a year",UnitedHealthcare,"Detect data quality issues, identify root causes, implement fixes, and manage data audits to mitigate data challenges.","Omaha, NE +2 locations"
25,Data Science Associate (Remote),,pulseData,"Bachelor/Master Degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing…","New York, NY"
26,Engineering & Data Science Co-Op – Spring 2023,,Johnson & Johnson,"Write software to enable collaborative data analysis and ensure data quality. Perform data analysis on structured and unstructured surgical data sets,…","Cincinnati, OH"
