,title,salary,company,description,location
0,Data Analyst,"$100,000 - $120,000 a year",Cognizant Technology Solutions,Perform data analysis on large volume of healthcare payer operational data by writing complex queries. Work with architects to understand solution and data…,"Detroit, MI +1 location"
1,Data Analyst/Statistician,"$51,980 - $103,518 a year",US Department of Veterans Affairs,Create processes for assessing quality and accuracy of data. Working with healthcare data: 2 years (Preferred). Key Attributes of Successful Candidates *.,"Ann Arbor, MI"
2,Data Analyst,"$80,000 - $140,000 a year",Best Egg,"In addition to semi-monthly salary payments, this position is also eligible for an annual incentive bonus based on individual and company performance.",Remote
3,Data Analyst,$40 - $60 an hour,IntegrityATL,"To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and…",United States
4,Program Associate I - Data Analyst,"$64,467 - $84,323 a year",DPSCD,Demonstrated success in analyzing and interpreting quantitative data and disparate data sources to make recommendations based on findings.,"Detroit, MI"
5,Remote Data Analyst,"$50,000 - $74,000 a year",ADT Security Services,"Familiarity with Mastermind Business/Monitoring data tables. They may develop databases and systems for inputting, managing, and securing an organization’s data…",Remote
6,Program Associate I - Data Analyst,"$64,467 - $84,323 a year",Detroit Public Schools Community District,Demonstrated success in analyzing and interpreting quantitative data and disparate data sources to make recommendations based on findings.,"Detroit, MI"
7,Entry Level Data Analyst,,"Antra, Inc",Secure access to data sources Determine data accuracy and usefulness Define processes to Improve the quality of data (standards) 1.,Remote +1 location
8,Program Analyst,"$74,950 - $138,868 a year",U.S. Department of State,Experience assisting in the integration of qualitative and quantitative data analysis. OR B. Have a Ph.D. or equivalent doctoral degree OR 3 full years of…,"Washington, DC"
9,Professional Administrative Analyst,"$52,924 - $73,982 a year",Great Lakes Water Authority,"Business technology, data management systems, and applications. Independently analyze data to make recommendations for resolution, and make recommendations to…","Detroit, MI"
10,Billing Data Analyst I,"$58,000 - $84,000 a year",Indeed,"In this role as an Operations Analyst, you’ll support the Indeed Revenue Systems platform. You’ll be responsible for responding to internal customer requests,…",United States
11,Entry Level Data Analyst,$27 - $30 an hour,TRESUME,Perform data cleanups and document processes. Analyze internal and external data through quantitative research. 0-2 years of experience in a data support role.,"Chantilly, VA +11 locations"
12,CDAO Data Analyst,"$91,332 - $120,332 a year",General Motors,"Additionally, you will be responsible for working with IT and business partners to identify data feeds and data points that need to be created.",Remote
13,Business Data Analyst (Remote),"$90,000 - $100,000 a year",Digital Strategy LLC,"Supports data efforts in system modernization projects including synchronizing data, establishing data reporting processes, leading data quality efforts, and…",Remote
14,Part-Time Data Entry Analyst - Solvas Financial Technology,,Deloitte,This is a part-time syndicated loan data entry analyst opportunity supporting the Solvas|Digitize Managed service. Review automated data extraction results.,"Detroit, MI +22 locations"
15,Entry level Data Analyst,$40 - $60 an hour,Emonics LLC,"Collaborate with Healthcare analytics business and data SMEs to profile, analyze, and model data, including creating logical mapping of source data into target…",Remote
16,Junior Data Analyst,"$40,000 - $45,000 a year",Teamson,"At least two years of experience as an analyst working with large data sets. Accurately gather and analyze data from Tableau, SAP, and other data sources.",Remote
17,Data Reporting Analyst - Entry Level,"$60,000 - $70,000 a year",PCS GLOBAL TECH,Regularly examine data reports to locate and resolve mistakes throughout. Create business reports that provide insight into key data points.,"Seattle, WA"
18,Location Data Analyst,"$55,000 - $80,000 a year",Indeed,3-5 years experience in a Data Analyst or GIS role with a focus on large-scale spatial data analysis and open source solutions.,United States +4 locations
19,Data Analyst,"$55,500 - $70,500 a year",Lakeshore Legal Aid,Assess and ensure quality of data. Create reports and presentations to further explain data. Work closely with staff to verify data accuracy and completeness.,"Detroit, MI"
20,Senior Data Analyst- Remote (EST),$68.75 an hour,Suncoast Drivers,"Analyze data for data gaps and make recommendations for data quality improvement. Dive deep into data to uncover trends, data quality, and data completeness.",Maryland
21,Data Analyst - Mobile Games,"$100,000 - $120,000 a year",Carbon Counts Tech,Data analysis skills: 5 years (Required). You will regularly present data-driven analysis to senior leadership. _Full time remote within a distributed team_.,Remote
22,Finance Data Analyst,,Computer Solution LLC,Experience in data analysis and working with large data sets. Data/business analyst role on system enabled transformation projects.,Remote
23,Data Support Analyst,,Willson International Ltd.,"College Degree or business experience equivalent in data analytics is required. Conduct highly complex data review, research, and/or reconciliation for assigned…","Southgate, MI +1 location"
24,Business Analyst,"$85,000 - $90,000 a year",K-TEK RESOURCING,"> Business Analysis services, work closely with stakeholders to get in-depth understanding of the business strategy, process, services.",Remote
25,Remote-Data Technician Analyst,"$47,412 - $55,000 a year",Self Insured Reporting,Understand the data integration process from start to finish and how we use the data we have. Set up data-based protocols. Microsoft Excel: 2 years (Required).,Remote
26,Data Analyst,,Optimal Inc.,"Work with on-prem data sources (Hadoop, SQL Server), understand the data model, business rules behind the data and build data pipelines (with GCP) for one or…","Dearborn, MI +1 location"
27,Data Analyst - Stratascale,,SHI International Corp.,"1-3 years’ experience in data analysis with PowerBI, Tableau, or Clickview. Advance knowledge of PowerBI to develop data visualizations.","Detroit, MI"
28,Remote Provider Data Service Analyst 1,,Coventry WCS,Provides support for baseline provider data transactions that cannot be administered automatically through the provider database due to system limitations and…,United States
29,"Analyst, Reporting and Data","$118,800 a year",Chime,"Synthesize data and build consensus by clearly communicating and presenting data-orientated information. Collaborate with other analysts, subject matter experts…","San Francisco, CA"
30,Data Analyst,"$65,800 - $94,000 a year",DISH,"Experience with big data platforms (e.g. AWS, Athena, Hive). At least a BS in a quantitative field such as statistics, data science, or business analytics (MS…","Christiansburg, VA +1 location"
31,Data Research Master,,ucd,"We need a researcher to help gather, organize, and present data for buyers and owners of commercial property. Researcher will also help gather, organize, filter…",Remote
32,Data Analyst (Remote),,Home Depot / THD,"1-2 years of data analysis experience. Addresses IDM data collection & data quality issues, documentation, system training needs & questions for both internal &…","Atlanta, GA"
33,IT Data Analyst - FinTech + growing + profitable + remote,"$75,000 - $95,000 a year",Relentless Talent,Assume data support responsibilities from current data warehouse vendor. Actively monitor data ingestion process and escalate for operational and/or data…,"Detroit, MI +1 location"
34,Data Analyst,$30 - $35 an hour,Vortex Trading llc,Proven working experience as a data analyst or business data analyst. Acquire data from primary or secondary data sources and maintain databases/data systems.,"Cromwell, CT"
35,Junior Data Analyst - DAL22-033349999999,,"Evergreen Technologies, LLC.","Experience with data wrangling, data cleaning and prep, dimensionality reduction. Experience querying data from relational databases using SQL.","Detroit, MI +7 locations"
36,Entry level Business /Data Analyst,$30 - $35 an hour,TRESUME,"Knowledge of data visualization software like Power BI, Tableau. We have multiple openings for *Business /Data Analyst's *Nationwide.*.","Baltimore, MD +1 location"
37,Reporting Analyst / Data Analyst (Healthcare experience needed),$18.63 - $40.00 an hour,Mosquito Hunters,"Advanced Excel (Pivot Tables, etc...), PowerPoint. 4 years of reporting experience. BI Reporting experience (Tableaus preferred, will consider other platforms…",Remote
38,"Senior Data Analyst, Games & Live Ops",,PlayStation Global,Demonstrated analytical skills working with large sets of complex data. This position will develop and manage towards a data analytics vision for PlayStation…,"San Mateo, CA"
39,Data Operations Analyst,,TELUS Agriculture & Consumer Goods,"Performs data reconciliations, validation and data quality checks to ensure we are monitoring and resolving any data inconsistencies.",Remote
40,Data Analyst,,Winwire Technologies,"Providing resource to add/delete/amend data within any of the production systems. Manipulating data within Excel, notepad, Access, and any other tools available…",Remote
41,Data Analyst for Fresher (OPT Student),,CloudBig Technology,"Responsible for ensuring data accuracy and data availability in all monitoring, ticketing and analysis tools and systems.",Remote
42,Data Analyst (Consumer Finance),,SmileDirectClub,Use data to optimize payment authorization rates and collections. Naturally curious; seeks out answers by diving deep into the data.,Remote
43,Data Analyst II-Remote,,Michigan Health Plan,"O Internal data cleansing and data reconciliation analysis. Handle complex data requests, reports, and predictive data modeling.","Detroit, MI"
44,Logistics Data Analyst,,Central Transport,"This is a full time opportunity, working *Monday – Friday* during regular business hours. Audit of daily bills in regards to class, weight, dimensions and…","Warren, MI"
45,Digital Data Analyst,"$100,000 - $135,000 a year",Canyon Associates,"Bachelor's degree Remote Role Experience configuring cloud, data Data manipulation database modeling SQL evaluate data models USC or Green Card needed…",Remote
46,CRM Data Analyst,"$75,000 - $90,000 a year",Smartwyre,"The CRM data analyst will perform various functions, including maintaining analyzing customer data to provide support for sales and marketing efforts.",Remote
47,Data Analyst,"$70,000 - $80,000 a year",Genspark,"Location: *Remote *for now ( relocation after 6/8 months Alpharetta, Georgia). During your first 6-8 weeks with GenSpark, we provide paid training in technical…",Remote +1 location
48,Analyst,"$38,000 - $48,000 a year",The Freedonia Group,Analyze data and place into standard formats to facilitate data analysis. Locate and collect primary and secondary data. 0-3 years work experience.,Remote
49,Data Reporting Analyst (Healthcare experience needed),$18.68 - $40.00 an hour,Mosquito Hunters,Data/Reporting Analyst will be responsible for report generation between the provider (hospital) and the client (payer) and ensuring reports submitted by the…,Remote
50,Business Analyst,$35.54 - $75.45 an hour,Triunity software Inc.,Performs business analysis tasks such as problem solving and new requirements definition tasks per area of focus within Business Analysis as assigned by Manager…,Remote
51,Training and placement for Business Analyst,$38 - $45 an hour,Precision Technologies Corp,New training batch for Business Analyst in different domains. Training provided by Remote full-time trainer with good working professional experience as a…,"Palo Alto, CA +3 locations"
52,Senior Sales Data Analyst,"$81,969 - $100,874 a year",PAYLOCITY CORPORATION,5 – 8 years’ experience in Sales Leadership or Sales Operations. The Senior Sales Data Analyst independently plans and executes advanced data analytic projects…,Remote
53,Senior Data Analyst,"$75,600 - $108,000 a year",DISH,Garner key insights from data and communicate these findings to key stakeholders to help make data-driven decisions.,"Englewood, CO"
54,Associate Data Analyst,"$40,000 - $60,000 a year",FUND Consulting,"1-3 years of experience in the data analysis lifecycle, including data collection, cleaning, transforming and analysis. This will be a remote position.",Remote
55,Junior Data Analyst – Part Time Entry Level,$17 an hour,CORMAC,"Using data science and business intelligence tools, CORMAC’s data analytics solutions provide the power to turn raw data into insights and opportunities.",Remote
56,Senior Data Analyst,,MI-GSO | PCUBED,You have over 5 years of experience developing and applying data strategies. 5 or more years of relevant experience with Alteryx or any equivalent ETL/data…,"Dearborn, MI"
57,Data Analyst,,Zora,"Experience working with complex data, and organizing data into standard formats. Analyze data quality of a variety of datasets. Pay: From $80.00 per hour.",Remote
58,Senior Data Analyst (Remote-Home Based Worker),"$100,000 - $121,000 a year",Allstate,"Advanced data management, quality assurance and data flow skills. Experience in data extraction, data manipulation, analysis and reporting required.",Remote
59,Business Analyst,$45 - $65 an hour,Cloud Zenix,Experience working with internal and external stakeholders to collect business requirements. Experience working with automated workflow systems and Medicaid is…,Remote
60,Data Analyst,$50 - $55 an hour,Interon IT Solutions LLC,"At least five (5) years of experience in writing data conversion logic in Java, scripting languages such as *SQL, Python, Linux Shell Script, Perl, Windows…",Remote
61,Entry Level Data Analyst,$22.98 - $26.83 an hour,SMB Franchise Advisors,Experience with hands-on and manual data tasks. Attention to detail and ability to follow instructions and written processes to deliver requirements.,Remote
62,Telesales Data Analyst,,Elite Insurance Partners,Storytelling with data via dashboards and data visualizations in tools such as Tableau or Google Data Studio and good presentations skills.,Remote
63,Data Analyst,,CompuGain,"Proven working experience as a data analyst or business data analyst. Develop and implement databases, data collection systems, data analytics and other…","Reston, VA"
64,Data Management and Reporting Analyst,"$100,000 - $150,000 a year",Capella Space,Attention to detail in defining and producing informative data driven reporting artifacts. Accessing and querying data through APIs.,"Boulder, CO"
65,Data Analyst - Stratascale,,Stratascale,"1-3 years’ experience in data analysis with PowerBI, Tableau, or Clickview. Advance knowledge of PowerBI to develop data visualizations.","Detroit, MI"
66,Fraud Data Science Analyst,"$100,626 - $140,000 a year",Acunor,"*Modeling / data science experience is a plus*. *Credit or fraud risk analytics experience is a must, marketing or operations analytics may also be considered…",Remote
67,Data Analyst,,Silent Falcon UAS Technologies,"Ensuring layers are represented and displayed correctly according to the collected data. Relabeling of data, for use by the client - both internal and…","Front Royal, VA"
68,"Data Analyst, IT Remote",,U.S. Medical Management,Perform data cleansing to identify erroneous data and initiate corrections needed. Collaborate with team members to collect and analyze data.,"Troy, MI"
69,Data Analyst Associate - 2023,,Capital One,Use data mining techniques to identify fraud rings. Optimize bank ATM placement through advanced data exploration.,"McLean, VA"
70,Data Analyst,,ABC Entertainment,"Perform data entry work to place collected data into the company database, placing special emphasis on data integrity and accuracy.","Burbank, CA"
71,Business Analyst // Entry level,,Argano,"Analyze data, evaluate and present solutions. We help our clients envision and enable digital transformation solutions. Map and Gap the requirements.",Remote
72,Lead Data Developer Analyst,"$85,000 - $125,000 a year",The Alacer Group,Provides technical consulting on data composition and data engineering. Provides data and technical consulting during data application design.,Remote
73,Data Analyst (Senior),,Sierra7,Obtaining data through advanced computerized models. Extrapolating data patterns through advanced algorithms. Developing simple graphs and charts to explain how…,"Falls Church, VA"
74,HUBZone Data Entry Analyst,,"Blue Sky Innovative Solutions, LLC","OR at least 3 years of relevant work experience. Once there is a higher confidence in the level of precision of the data entry, the incumbent will be left to…",Remote
75,Digital Content Data Analyst (Remote),"$130,000 a year",Home Depot / THD,"Experience in E-commerce, data management, process analysis and improvement. The Digital Content Data Analyst serves as the primary product data category lead…","Atlanta, GA"
76,Digital Delivery - Data Analyst - New York,,Efficio Consulting,"Independently conduct analysis in SQL & Tableau, sharing results and collaborating with clients, Efficio’s client facing teams, and Efficio’s technical experts.","New York, NY"
77,Health Data Analyst,,"NN Tech, LLC",This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. Designing database tables and structures.,Remote
78,Business Analyst,$30 an hour,"BCVS Group,inc",Assist in the testing process through the development of test cases and data. Gather business and technical requirements for application modifications and…,"Farmington Hills, MI +2 locations"
79,Business Analyst,,Cloud Big Technology,_Responsible for working with the client to capture and document the project requirements. _They will also be responsible for interfacing with the technical…,Remote
80,2022 | Data Analytics and Business Intelligence | Analyst | New York,,Goldman Sachs,"Data teams across the firm embody a keen attention to detail and quantitative discipline, focusing on data analytics and business intelligence to ensure our…","New York, NY +4 locations"
81,Data Analyst,,CRED Investments,You are an experienced data analyst who enjoys optimizing data systems and building them from the ground up. The right candidate will be excited by the prospect…,Remote
82,2023 Entry Level - Quality Data Analyst,,Textron Aviation,"X. Provide technical expertise on data storage structures, data mining, and data cleansing. Preferred work experience as a data analyst or in related field.","Wichita, KS"
83,Senior Data Analyst,,"Wimo Games, Inc.","Ability to write queries, pull and manipulate data sets and perform data analysis based on large data sets. Perform data analysis to support the operation and…",Remote
84,Data Analyst,,9thWonder,Work with large data sets via automated and hands-on data processing to produce structured data sets for analysis. 9thWonder is looking for a Data Analyst.,"Detroit, MI +4 locations"
85,Business Analyst,"$60,000 a year",Amware Fulfillment,"The ideal candidate will have a minimum of 3 years’ experience in an accounting/billing position, preferably with experience billing/analyzing small-parcel (e.g…",Remote
86,Data Analyst I,,Management Science Associates Inc.,"This will include data loading, cleansing, master data management and extraction as well as building data warehouses and reporting.",Remote
87,Data Analyst,,Infinity Quest,Extensive experience with data visualization. Pharmacy software: 3 years (Preferred). Data management: 3 years (Required).,Remote
88,Jr. Data Analyst - Medicare,"$60,000 - $65,000 a year",MyPlanAdvocate,"Assist with the design and development of high-visibility projects including data mining, data analysis, and visualization via Power BI.",Remote
89,Commercial Operations Analyst,"$60,000 - $70,000 a year",JLL,"Capture Commercial CRB data in support of quarterly and annual KPI reporting, cross-referencing with data sets from Sales, Pricing, and Account Management…",Remote
90,2023 Entry Level - Data Analyst,,Textron Aviation,Performs data analysis via various data-mining and statistical techniques to gain insights from data to support business objectives. 12-paid holidays a year.,"Wichita, KS"
91,Business Analyst - Information Technology,"$66,625 a year",Wayne County Government,"The IT Analyst will develop, maintain, or implement business continuity including risk assessments, business impact analyses, strategy selection, and…","Detroit, MI"
92,Business Analyst,,KP Partners LLC,1-3 years of prior experience as a business analyst (management consulting or small business setting preferred). Must be able to work with minimal supervision.,Remote
93,HR Data Analyst,,Corsearch,Ensure data integrity and recommend solutions where problems arise. Coordinate across multiple partners and customers to resolve employee data issues.,Remote
94,Data Analyst,$70 - $72 an hour,"Iver Solutions, LLC",5-8 years of Experience in pulling large and complex data using SQL and writing data pipelines and Statistic Modeling.,"Seattle, WA"
95,Data Operations Analyst,,Revint Solutions,"Full client implementations – acquiring data, importing data, validating data, and getting the system ready for go live.",Remote
96,Transportation Analyst,"$55,000 - $65,000 a year",Little Caesars / Blue Line Distribution,"With expertise in Power BI, Excel and Access and ability to manipulate and extract data. Highly developed analytical and problem-solving skills that results in…","Detroit, MI"
97,Data Analytics Analyst,,Cherry Tree Dental,"Three years experience with complex data management, analysis, and reporting of clinical and financial data. Utilize internal data platforms to collect, analyze…",Remote
98,Entry-Level Data Analyst,"$70,000 - $85,000 a year",The Federal Savings Bank,1+ year experience in data analysis. Utilize data to identify trends and opportunities for growth or improvement based on the context of a given dataset.,"Chicago, IL"
