,title,salary,company,description,location
0,Data Engineer,"$72,750 - $151,798 a year",Detroit Red Wings,Experience building data warehouses for data science and analytics. Lead the data team and data infrastructure initiatives within Hockey Operations.,"Detroit, MI"
1,Data Engineer - 100% Remote,,Paramount Pictures,The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing existing data systems and building new ones from the ground…,Remote
2,Data Engineer,,Optimal Inc.,"Contribute with that overall data standard, information interoperability, data quality, and data availability fully support the goals of GDI&A.","Dearborn, MI"
3,Data Engineer,$55 - $60 an hour,Laiba Technologies,Strong data manipulation and data analysis skills. 5+ years’ experience performing data engineering in a ODS environment. Data warehouse: 1 year (Preferred).,Remote
4,Data Engineer,"$130,000 - $145,000 a year",Human Interest,Help build a world class data environment. Work with engineering teams across the company to improve data tracking. Generous PTO and parental leave policies.,"San Francisco, CA"
5,Data Engineer - Pyspark,"$100,000 - $120,000 a year",KanBTech,"3 + years of experience in designing data engineering solutions. Proficient in designing, building solutions using data processing and object oriented…",Remote
6,Climate Data Engineer,"$160,000 - $200,000 a year",USB Outsourcing,"Partner with technology architecture and engagement teams to design, develop and deliver solutions for ESG-related projects.",Remote
7,Data Engineer,$60 - $65 an hour,Interon IT Solutions LLC,"Assist managers to monitor and comply with State data security requirements. Install, Administer, Upgrade and Manage Informatica MDM platform - master data…",Remote
8,Data Engineer,"$84,452 - $140,948 a year",KPI Partners,Must have worked on variety of projects in data engineering. 8 years of data warehouse experience with ETL/ Data transformation.,Remote
9,Data Engineer 2145853,"$175,000 - $350,000 a year",Amazon,"Data architecture: 1 year (Preferred). 1+ years of experience contributing to the data architecture and design (architecture, design patterns, reliability and…",Remote +18 locations
10,Data Engineer General,,Global Information Technology,3+ years of progressive responsibilities in managing data and data processes. Experience working with data in Informatica.,"Dearborn, MI"
11,Data Engineer I,"$83,000 - $137,000 a year",New Visions for Public Schools,"2+ years of experience in data engineering, software engineering, or advanced data analytics. Multiple times per day, we manage the processing of data from…",Remote
12,Junior Data Engineer,"$90,000 - $100,000 a year",Pepsico,Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,Remote
13,Data Engineer,,Quadrant Resource,"Experience of working in Agri Research & Development projects, working with complex data like genomic sampling, selection data, variant data etc.",Remote
14,Data Engineer,$60 - $63 an hour,confidentioal,"Good to have: Data science experience, data pipelines, data structures. Do not need data mining. Batch processing; not real time data.",Remote
15,Data Engineer II,"$109,000 - $159,000 a year",Indeed,The successful candidate will have hands-on data processing and data modeling experience in a “big data” environment. Troubleshoot issues along the pipeline:,"Austin, TX +4 locations"
16,Data Engineer,$70 - $80 an hour,Concept Software and Services,"Data engineer: 10 years (Required). Big data: 10 years (Required). Overall, 12+ years of experience handling complex data. Remote (EST Time Zone Only)*.",Remote
17,Data Engineer,"$160,000 - $170,000 a year","Stefanini, Inc","Experience in leading Data Engineering tasks such as ML automation, data warehousing, data ingestion, data transformation, data visualization, etc.","Dearborn, MI"
18,Data Engineer,$70 - $96 an hour,(QSI) - Quality Systems Integrators,"Provide centralized direction for metadata repositories, data definitions and data relationships. Work with Enterprise Data Architect to validate project data…",Remote
19,Data Engineer,,Rochel Software,"Unit and Integration testing of data engineering pipelines built. Understand data model from each source system - PeacockTV, OneApp and potentially Sports.",Remote
20,Data Engineer,,NucleusTeq,Hands on BI Data Engineer role with strong. Creating KPI Dashboards - Interactive Dashboards using tableau / Quicksight.,Remote
21,Senior Data Engineer,"$130,000 - $180,000 a year",Con,"6+years of experience as a Data Engineer. Having experience with Python, Spark, and SQL. Data Engineer: 5 years (Required).",Remote
22,Amazon Quicksight Data Visualization Engineer,$70 - $90 an hour,"Comprehensive Resources, Inc.","The decisions are crucial in how the customers around the world analyze and visualize data. Mentor other engineers, define the technical culture, and help grow…",Remote
23,Senior Data Engineer,"$120,000 - $180,000 a year",Brix Labs,This position is full time remote working with flexible working hour and competitive pay. Bachelor degree is relative field. 5+ years of experience in Python.,Remote
24,AWS Data Engineer,,KLap6,"Experience in data ingestion, enrichment, validation. 2-5 years of data pipeline development experience in AWS. Data Pipeline: 2-3 Years. AWS S3: 2-3 Years.",Remote
25,Data Pipeline Engineer,$70 - $90 an hour,American Unit,"Project goal: Assist in the initial design and build of the foundational data pipeline infrastructure *. 3 years of experience installing, configuring, and…",Remote
26,Data Engineer,$45 - $65 an hour,Cloud Zenix,"Data from a wide variety of data sources using Spark, SQL, HQL and other technologies. Big data: 8 years (Preferred). GCP is a big plus, Azure is also fine.",Remote
27,Data Engineer,,AdientOne,"Responsible creating and publishing reports focused on digital data insights, utilization, and trends; performing analyses using both basic (e.g., regression,…",Remote
28,AWS data engineer,$70 an hour,Compunnel Inc.,Title: AWS Data Engineer Location: 100% Remote *Required skills : * * Kafka * Kinesis * Nifi Job Type: Contract Salary: $70.00 per hour Benefits: *…,Remote
29,Data Engineer,$50 - $90 an hour,On Target Computing,"Build processes that support data transformation, workload management, data structures, dependency, and metadata.",Remote
30,Senior Data Engineer,$70 - $80 an hour,Communications Advertising for Bull City,"Experience in evaluating, designing, and implementing data platforms and data pipelines to scale and automate the extraction of data from multiple internal and…",Remote
31,Data Engineer,,Business Intelli Solutions,"7+ years of experience as a software developer, data engineer, or data scientist. Experience with the design and implementation (building, containerizing, and…",Remote
32,Data Analytics Engineer (Remote),,Axle,"Strong working knowledge of data warehousing, schema, and data modeling best practices. Drive data quality by transforming dynamic data and business logic into…","Atlanta, GA"
33,Data Engineer,$80 - $90 an hour,Brik Partners,"Previous experience as a data engineer or in a similar role. Technical expertise with data models, data mining, and segmentation techniques.",Remote
34,Healthcare Data Integration Engineer (100% Remote in US),,ArborMetrix,"Experience in using data integration / ETL tools. Our data science platform allows for efficient aggregation and deep analysis of healthcare data, and deploys…","Ann Arbor, MI"
35,Data Engineer,"$160,000 - $200,000 a year",Recruiting From Scratch,"Our client is looking for an experienced Software Engineer working on all data related projects: data pipelines, data science and data analytics projects.","Detroit, MI +84 locations"
36,ATSV-Big Data Engineer-Sr Cons II (70021501),"$130,000 - $165,000 a year",Allstate,"Compensation offered for this role is $130,000-$165,000 Plus Annual Incentive Bonus Potential and is based on experience and qualifications.",Remote
37,Data Engineer,$80 an hour,Manrco Inc,"1+ year experience working on streaming data applications (Spark Streaming, Kafka, Kinesis, and Flink. Utilize programming languages like Java, Scala, Python…",Remote
38,Position: Data Engineer,"$92,220 - $251,682 a year",Infinity Quest,"Good to have to big data technologies – Apache Spark, Kafka, Delta Lake. Strong in SQL and Python. Fremont, CA: Reliably commute or planning to relocate before…","Fremont, CA"
39,Big Data Engineer,"$84,530 - $185,792 a year",Advantech LLC,"Maintains data architectural artifacts and ensures that all measures for data quality, data profiling, data governance, ITIL, security and compliance of data…",Remote
40,Lead Data Engineer,$110 - $120 an hour,Braintrust,Experienced in leading team of data engineers to work collectively to deliver solutions on time. Seasoned data engineer who has hand-on experience in AWS to…,Remote +1 location
41,Data Engineer,,kastech software solutions,"Build the data pipelines required for optimal extraction, transformation, and loading of data from a wide variety of data sources using PySpark.; *.",Remote
42,Data Engineer,$60 - $65 an hour,workcog inc,Proven abilities for leading the data track for the application teams to deliver high performance to end consumers. Strong organizational and analytical skills.,Remote
43,Data Engineer,$70 - $75 an hour,Clairvoyant,Tasked with testing and maintaining highly scalable data processing pipelines using BigData technologies and SOA architecture.,Remote
44,Data Engineer,,S3vision Inc,8+ years of experience - nearly 3 years of experience in AWS; currently a Data engineer for a project migration. Project Migration: 2 years (Preferred).,Remote
45,Data Engineer,,HTC Global Service.INC,3+ years’ experience in handling data and data processes. Experience working with data in Informatica. Ability to communicate findings to make data analysis…,"Dearborn, MI"
46,Data Engineer,$80 - $95 an hour,Aspire Systems Digital Inc,"Experience in data acquisition, data set process, improving data reliability, quality, and efficiency. Must*have experience with large* data sets to address…",Remote
47,Data Engineer III (US - Contract),$100 - $118 an hour,Expedia Group,Enthusiastically seek out solutions for data engineering problems. Minimum 5+ years developing data and software solutions including ETLs.,"Seattle, WA"
48,Senior Data Engineer,,ECI - Sacramento,(Successful completion of a data engineering bootcamp plus an additional year of experience may be substituted for the degree requirement.,Remote
49,Data Engineer,"$80,452 - $190,948 a year",FEBATECH LLC,"Understand and implement best practices in management of enterprise data, including master data, reference data, metadata, data quality and lineage.",Remote
50,Data Engineer,,J2 Solutions,"Demonstrated experience with data warehouses or data lakes and relational databases. Build scalable, automated data pipelines using Dataprep (training is…",Pennsylvania
51,Data Engineer,"$65,000 - $80,000 a year",Chase Cost Management LLC,*Experience with large data sets across multiple data sources*. *Performs data entry and corrections of data in CCM systems.*. *Good to have AWS/GCP knowledge*.,Remote
52,Data Engineer,$60 - $65 an hour,DSMH LLC,"Daily standup, collaborate with peers, work independently to complete sprint commitments, participate in agile ceremonies. Python, Scala: 5 years (Preferred).",Remote
53,Data Engineer,$60 - $75 an hour,DataEdge USA,"Find data sources/mine data. Set standards for data transformation/processing. Developing reporting tools and data access tools,.",Remote
54,Data Engineer,,Eleanor Health,"Contribute to building a healthcare focused data platform that optimizes for time to data quality, data observability, and logic deployment.","Austin, TX"
55,Senior Data Engineer (REMOTE),"$150,000 - $172,000 a year",LogRhythm,"Develop production quality software for interacting with distributed data pipelines, data stores and data models. Apache Spark (Dataproc, EMR, etc.).","Boulder, CO"
56,Big Data Engineer,$50 - $60 an hour,STM Consulting.Inc,Big data: 1 year (Preferred). 2.The recommendation should be based on data retention policies and usage patterns. 7.Document the new database schema design.,"Atlanta, GA"
57,Data Engineer,$65 - $70 an hour,Apptrics LLC,"Excited to build data platforms and tools that abstract implementation details for developers, analysts, and data scientists, enabling data transit.",Remote
58,Big Data Engineer,$75 an hour,Stellar Inc.,"Solve big data engineering problems. 3+ years of proven experience in collaborating with data architects, data scientists and enterprise platform team in…",Remote
59,Data Engineer (12 month contract),,"2seventy bio, Inc",Leverage cloud computing platforms like AWS for data management solutions. Develop automation workflows to enable data access across multiple systems.,"Cambridge, MA"
60,Data Engineer,,skysolution llc,"Good experience on designing and developing data pipelines for data ingestion and transformation using Spark. Deep knowledge in partitioning, bucketing concepts…",Remote
61,Data Engineer,$70 - $80 an hour,Braintrust,Experienced in leading a team of data engineers or individually working on the implementation of data integration requirements and developing the pipeline of…,"San Francisco, CA"
62,Data Engineer,,FocusKPI Inc.,"Develop tools to monitor, debug, and analyze data pipelines to ensure data quality and reliability. Have 3+ years of experience working with data warehouse/data…",Remote
63,Data Engineer ( Data modelling and Data pipeline),,Tekrek Solutions Inc,"Python coding skills for data movement and data manipulation (not app development). Experience building and optimizing data pipelines, architectures, and data…",Remote
64,Azure Data Engineer,,Garni software,5+years of extensive experience with Azure data factory. 5+ years of experience with big data tools. Azure data Factory: 6 years (Required).,Remote
65,Big Data Engineer,$60 - $80 a day,Infinity Quest,"Understanding of data structures, data modeling and software architecture. Proficiency in data analysis using complex and optimized SQL and/or the above…",Remote +2 locations
66,Data Engineer,$45 - $100 an hour,RADcube,Experience tracking data lineage (IGC preferred). Experience using cloud technology - AWS/Snowflake/S3 (anyone). Passion for quality and testing practices.,Remote +1 location
67,Data Engineer,,Brainjolt,Proactively detect errors across our data and optimize current processes in order to uphold the integrity of our data.,"Los Angeles, CA"
68,Data Engineer,"$84,498 - $100,000 a year",iconvergence,Three+ years of experience in engineering data pipelines using big data. Query/Snowflake or similar SQL data platform. Three+ years of SQL experience.,Remote
69,Senior Data Engineer,"$110,000 - $190,000 a year",Sift Healthcare,"Our data engineers design and develop data pipelines to integrate disparate systems and curate data for machine learning. Ideally, a Masters in a related field.",Remote
70,GCP Data Engineer,$70 - $75 an hour,Laiba Technologies,Must have GCP experience with Java Background 8 years of experience as a Data Engineer or Analytics Engineer handling large data pipelines and platforms.,Remote
71,Senior Data Engineer - Remote,$70 - $80 an hour,CTI Consulting,"Well versed in data management concepts, data lifecycle and methodologies. Sr. Data Engineer will be responsible for developing curated data (data models, data…",Remote
72,Jr Data Application Engineer,,Tyler Technologies,"Perform analytical and technical tasks to complete special and ongoing projects requiring extensive research, data collection, and detailed analysis, following…",Remote
73,Data Center Planning Engineer (Remote),"$80,000 - $125,000 a year",CrowdStrike,Project management and coordinating decisions across multiple teams. Raising visibility on project status and issues. 5+ years of relevant experience.,Remote
74,Data Protection Engineer,,General Motors,"You will be skilled at prioritising tasks and reviewing capacity and performance data, predicting trends and potential issues.","Warren, MI +1 location"
75,Cloudera Data Engineer,,"Alexis Networks, Inc.","Experience in building data warehouse and data lake applications. Knowledge of data governance (Data Quality, Data catalog) desirable.",Remote
76,Data Engineer,"$120,000 - $180,000 a year",WorldLink,Building data APIs and data delivery services to support critical operational and analytical applications. Big data: 4 years (Required).,Remote
77,Data Engineer General,,Altair Engineering,"Experience with large scale solutioning and operationalization of data warehouses, data lakes and analytics platforms on GCP is a must.","Dearborn, MI"
78,Sr. Data Engineer (REMOTE),,Activate Care,"Architecting, implementing, and maintaining cloud-based modern data pipelines. Pursue high-standard engineering principles to build a scalable, reliable, and…","Boston, MA"
79,Data Engineer –with Kendra,$60 - $62 an hour,Precision Technology,Data engineer: 9 years (Required). Working Hours: US ET SMEs should be willing to travel once a quarter to Atlanta*. Kendra experience is must-have.,Remote
80,AWS data engineer,,XFORIA Inc,"Experience in data ingestion, enrichment, validation. 2-5 years of data pipeline development experience in AWS. Python/Spark: 2-3 Years.",Remote
81,Data Engineer,,ITRGroup,"2+ years of experience in full-stack data science product development: from exploratory data analysis, visualization to Client modeling to application/product…","Minneapolis, MN"
82,Junior Data Engineer,$40 - $50 an hour,N9 IT SOLUTIONS,Eligibility: -* (Authorized to work anywhere in the USA and for only those who are staying in the USA). Bachelor's Degree or Master’s Degree in Computer Science…,Remote
83,Data Systems: Software Engineer,"$60,000 - $145,204 a year",Danger Devices,Familiarity with data analysis methodologies. Developing creative solutions for data analysis. Improving efficiencies from test data collection through analysis…,Remote
84,Palantir Data Engineer,,Silex Data Solutions,Ingest new data sources using Foundry’s data ingestion UIs. They will need to work closely with our client subject matter experts to scope new data integrations…,Remote
85,Data Engineer,,FIIDUS,Experience using data warehouses including Teradata & Google Big Query. A minimum of 4+ years of relevant professional experience in a data analysis role.,Remote
86,Data Engineer AUG76,,Zllius Inc.,"Good experience on designing and developing data pipelines for data ingestion and transformation using Spark. Deep knowledge in partitioning, bucketing concepts…","Canton, MI"
87,Data Engineer,,6sense,"Adapt and implement new technologies to improve data ecosystem and overall data health. Create, validate and maintain optimal data pipelines, assemble large,…","San Francisco, CA"
88,Data Engineer (up to $65/HR) (W2 Only),"$135,000 a year",Suncoast Drivers,"Develop data model and data pipeline, build REST APIs to provide data to downstream systems. Our team partners with product managers and data practitioners to…","Chicago, IL"
89,Data Engineer - Remote - United States,"$145,000 - $165,000 a year",Knotch,Build data expertise and own data quality for allocated areas of ownership. Excellent knowledge in SQL and data modeling.,"New York, NY"
90,Data Engineer,$70 - $80 an hour,Global IT Resources,Data engineer: 5 years (Required). Must be able to optimize our data flow and prepare the data for the data visualization (example: Tableau).,Remote
91,Data Center Electrical Engineer Professional - Remote,,DLB Associates,Collect data and other information for construction documents. Provide direction to project engineers to facilitate development electrical construction drawings…,Remote
92,Data Engineer (Remote),,"Second Wave Delivery Systems, LLC",Experience with building and managing data pipelines. Experience with big data analysis tools such as BigQuery and Looker.,Remote
93,Data Center Design – Mechanical Engineer,"$100,000 - $140,000 a year",EQUINIX,Strong MS Excel skills for data modeling. MUST HAVE: Efficiency and data modeling exp. In a critical facility or data center environment: 7 years (Required).,Remote +2 locations
