,title,company,salary,location,jobtype,qualifications,benefits,description
0,Data Engineer - 100% Remote,Paramount Pictures,"Estimated: $110,000 - $160,000 a yearQuick Apply",Remote ,Full-time,"Relational databases
SQL
Agile
Hadoop
Python","Health savings account
Dental insurance
Employee discount
Health insurance
Professional development assistance",The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing existing data systems and building new ones from the ground…
1,Applications Engineer – Data Management,SolidXperts,Quick Apply,"Nashua, NH ",Full-time,"Customer service
Remote access software
Computer skills
Product management
SolidWorks
Associate's degree
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)",Prior experience with product data management software. Train customers to use product data management software. Track and record resolution of cases.
2,Azure Data Engineer,Applied Information Sciences,"Estimated: $110,000 - $140,000 a year","Adelphi, MD ",,,,"Deep knowledge of data ingestion strategies and understanding of the V-dimensions of data (velocity, volume, variety, veracity)."
3,Data Engineer Mid-Level,"IPS, Inc.","$80,000 - $135,000 a yearQuick Apply","Colorado Springs, CO ",Full-time,"Research
DoD experience
SQL
MDS
Machine learning
US work authorization","Health insurance
401(k) matching
Tuition reimbursement
Paid time off
Professional development assistance","Practical experience as a data engineer or working engineering data intensive analysis of systems who understands the needs between software engineers, data…"
4,Data Engineer,1 Point Systems,Quick Apply,"Morris Plains, NJ ",Contract,"React
Information management
AWS
Java",,"Designs and develops a consolidated, conformed enterprise data warehouse and data lake which store all critical data across Customer, Provider, Claims, Client…"
5,Data Engineer,Human Interest,"$130,000 - $145,000 a yearQuick Apply","San Francisco, CA ",,,,Help build a world class data environment. Work with engineering teams across the company to improve data tracking. Generous PTO and parental leave policies.
6,Data Engineer,Detroit Red Wings,"$72,750 - $151,798 a yearQuick Apply","Detroit, MI ",Contract,"Relational databases
Data modeling
Azure
Research
SQL
US work authorization",,Experience building data warehouses for data science and analytics. Lead the data team and data infrastructure initiatives within Hockey Operations.
7,Data Engineer,Optimal Inc.,"Estimated: $95,000 - $130,000 a yearQuick Apply","Dearborn, MI ",Contract,"SQL
Communication skills
Hadoop
Python
Data analysis skills
Bachelor's degree
Master's degree",,"Contribute with that overall data standard, information interoperability, data quality, and data availability fully support the goals of GDI&A."
8,Data Engineer,Laiba Technologies,$55 - $60 an hourQuick Apply,Remote ,Contract,"SQL
Informatica
Teradata
Agile
Python
US work authorization",,Strong data manipulation and data analysis skills. 5+ years’ experience performing data engineering in a ODS environment. Data warehouse: 1 year (Preferred).
9,Data Engineer III,"Visual Lease, LLC",,"Woodbridge, NJ ",Full-time,"Accounting
.NET
Scrum
Database design
Communication skills
Bachelor's degree",,4+ years experience with data warehousing and multidimensional data models. Experience with data migration projects.
10,Quality Assurance Engineer - Tire Warranty Data Analysis,Toyo Tires,"Estimated: $75,000 - $100,000 a yearQuick Apply","White, GA ",Full-time,"Cognos
SQL
Business intelligence
MATLAB
Communication skills
Bachelor of Science
Bachelor's degree
US work authorization","Health savings account
Dental insurance
Employee discount
Health insurance
401(k)",Advanced data mining and visualization techniques will be employed to provide world-class analysis of tire warranty data trends.
11,Data Integration Engineer,ShotSpotter,"Estimated: $83,000 - $120,000 a yearQuick Apply","Tucson, AZ ",Full-time,"Relational databases
Azure
SQL
Spark
UML
Bachelor's degree
Fingerprint clearance",,Build transformations around the data. Analyze/reverse-engineer client database structures/schemas. Verify quality of converted data using automated test suites…
12,Big Data Cloud Engineer,1 Point Systems,Quick Apply,"Des Moines, IA +4 locations",Contract,"Communication skills
Machine learning
Bachelor of Science
Bachelor's degree",,"Develop and implement a data management, data quality or metadata research plan that may include small teams. Engage with and support data management teams with…"
13,Data Engineer,Rochel Software,Quick Apply,Remote ,Contract,"SQL
Distributed systems
Python
Data warehouse
Bachelor's degree
Master's degree",,"Unit and Integration testing of data engineering pipelines built. Understand data model from each source system - PeacockTV, OneApp and potentially Sports."
14,Data Engineer,confidentioal,$60 - $63 an hourQuick Apply,Remote ,Full-time | Contract,"Azure
SQL
Spark
Scala
Python",,"Good to have: Data science experience, data pipelines, data structures. Do not need data mining. Batch processing; not real time data."
